	estimate	upper	lower	
esite0	 1.1109951	 2.1694844	 .05250584	
esite1	 4.4535675	 6.0897685	 2.8173665	
esite2	  8.264401	 10.327901	 6.2009005	
esite3	 12.095424	 14.604583	 9.5862643	
esite4	 15.403132	 18.217708	 12.588555	
esite5	 17.781327	 21.331027	 14.231626	
esite6	 20.643833	 25.523598	 15.764069	
esite7	 20.140694	 26.566517	 13.714872	
esite8	 19.968166	  27.92108	 12.015252	
esite9	 19.825002	 27.888857	 11.761148	
esite10	 19.856742	 27.905738	 11.807745	
esite11	 19.285949	 27.757781	 10.814118	
esite12	 19.194579	 27.200066	 11.189093	
esite13	 18.456147	 26.196064	 10.716231	
esite14	 17.541808	 25.667654	 9.4159623	
esite15	  15.62937	 23.756829	 7.5019122	
esite16	 13.516507	 22.008466	 5.0245483	
ebelligerent0	 .18501014	 .56789151	-.19787124	
ebelligerent1	 .92683315	 1.8157161	  .0379502	
ebelligerent2	 1.4055476	 2.4121846	 .39891054	
ebelligerent3	 2.0503953	 3.3851938	 .71559679	
ebelligerent4	 2.8088447	 4.8775392	 .74015034	
ebelligerent5	 3.2186695	 5.4287023	 1.0086366	
ebelligerent6	 4.1987272	 6.6010559	 1.7963984	
ebelligerent7	  4.151596	  6.188821	 2.1143709	
ebelligerent8	 3.8672454	 5.9686309	   1.76586	
ebelligerent9	 4.0607511	 6.4953872	  1.626115	
ebelligerent10	 4.5766396	 7.0870644	 2.0662149	
ebelligerent11	 4.6868255	 7.1313813	 2.2422698	
ebelligerent12	 4.5583053	 7.0257856	 2.0908249	
ebelligerent13	 4.2703968	 6.8076852	 1.7331083	
ebelligerent14	 3.7878624	  6.445902	 1.1298228	
ebelligerent15	 3.5734442	  6.367877	  .7790114	
ebelligerent16	 3.0337692	 6.0148327	 .05270573	
ethird0	 .19604389	 .64770125	-.25561347	
ethird1	 .88051854	 1.6461925	 .11484461	
ethird2	 1.2026993	 2.2003379	 .20506076	
ethird3	 1.9945701	 3.1061711	 .88296921	
ethird4	 2.5084573	 3.5308757	 1.4860388	
ethird5	 2.7054574	 3.9257052	 1.4852096	
ethird6	  3.222788	 4.7295132	 1.7160629	
ethird7	 2.5537821	 4.6130349	 .49452932	
ethird8	 1.6370252	  4.382832	-1.1087817	
ethird9	 .94274923	 4.2219392	-2.3364408	
ethird10	 .81869259	 4.6557068	-3.0183216	
ethird11	 .49974873	 4.9376369	-3.9381394	
ethird12	-.02155835	 5.0929414	-5.1360581	
ethird13	-.59149892	 5.1932857	-6.3762836	
ethird14	-.99821378	 5.4967667	-7.4931943	
ethird15	-1.4433303	 5.6226257	-8.5092864	
ethird16	-2.1184632	 5.6373283	-9.8742548	
