	estimate	upper	lower	
esite0	-3.5582005	 -2.832339	 -4.284062	
esite1	-6.9256689	 -5.160886	-8.6904519	
esite2	-6.8500369	-4.0908903	-9.6091835	
esite3	-7.6120582	-5.5926203	-9.6314961	
esite4	-9.3167777	-6.9878276	-11.645728	
esite5	-8.6138363	-5.6369292	-11.590743	
esite6	-6.8465204	-3.5035517	-10.189489	
esite7	-6.0082541	-3.4979063	-8.5186019	
esite8	-4.6326698	-2.0616391	-7.2037004	
esite9	-3.8370023	-1.3901762	-6.2838284	
esite10	-3.0895811	-.61343507	-5.5657271	
esite11	-2.7173036	-.29109034	-5.1435168	
esite12	-2.5368808	-.05005648	 -5.023705	
esite13	-2.2852398	 .14414956	-4.7146292	
esite14	-1.6015532	 .90291112	-4.1060176	
esite15	-1.0951168	 1.4718956	-3.6621291	
esite16	-1.1132636	 1.5433771	-3.7699043	
ebelligerent0	-.28252423	 .16992233	-.73497079	
ebelligerent1	-.17625393	 .59147346	-.94398131	
ebelligerent2	 .13078772	  1.272451	-1.0108755	
ebelligerent3	-.26338237	 1.2876437	-1.8144084	
ebelligerent4	-.87240096	 1.0759342	-2.8207361	
ebelligerent5	 -1.036612	 .71826553	-2.7914895	
ebelligerent6	-1.5059026	 .32613829	-3.3379436	
ebelligerent7	 -1.488481	  .1953322	-3.1722942	
ebelligerent8	-1.2926511	 .04370083	 -2.629003	
ebelligerent9	-1.0892497	 .29531853	 -2.473818	
ebelligerent10	-.99685603	 .35389799	  -2.34761	
ebelligerent11	 -.6759207	 .64999654	-2.0018379	
ebelligerent12	-.64421242	 .68971694	-1.9781418	
ebelligerent13	-.65557407	 .68513791	-1.9962861	
ebelligerent14	-.63447727	 .89414984	-2.1631044	
ebelligerent15	 -.6606285	 .89050334	-2.2117603	
ebelligerent16	-.79982842	 1.0570619	-2.6567188	
ethird0	-.45813675	 -.0988742	-.81739929	
ethird1	-.62361691	-.26102399	-.98620983	
ethird2	-.65464359	  -.193529	-1.1157582	
ethird3	-.77198081	-.22842887	-1.3155327	
ethird4	-1.3282692	-.82711185	-1.8294266	
ethird5	-1.1321804	-.58260311	-1.6817577	
ethird6	-1.2256689	-.57073792	-1.8805999	
ethird7	-1.3253198	-.53922461	 -2.111415	
ethird8	-1.2088149	-.35086046	-2.0667693	
ethird9	-1.0324375	-.17939929	-1.8854757	
ethird10	-.82310205	 .01114244	-1.6573465	
ethird11	-.69255559	 .07159592	-1.4567071	
ethird12	 -.4592431	   .342379	-1.2608652	
ethird13	-.43992424	 .39922695	-1.2790754	
ethird14	-.37446457	 .53000301	-1.2789321	
ethird15	-.48983897	   .557895	-1.5375729	
ethird16	-.54497959	 .64244166	-1.7324009	
