	estimate	upper	lower	
esite0	 .09471184	 .16732987	 .02209381	
esite1	 .15911796	 .26117443	 .05706148	
esite2	 .23386061	 .35583141	 .11188982	
esite3	  .1472506	  .3128141	-.01831289	
esite4	 .14710409	 .30687357	-.01266539	
esite5	 .17606659	 .26107809	 .09105509	
esite6	 .22159975	 .31813648	 .12506303	
esite7	 .24552876	 .34551756	 .14553997	
esite8	 .22171021	 .33055819	 .11286223	
esite9	 .28704882	 .43714476	 .13695288	
esite10	 .31840752	 .45445107	 .18236397	
esite11	  .3872478	 .55594743	 .21854816	
esite12	 .36967377	 .51578363	 .22356391	
esite13	 .24352597	 .40216562	 .08488633	
esite14	 .19090831	 .35188523	 .02993138	
esite15	 .12396883	 .28466799	-.03673033	
esite16	 .09241051	 .26508289	-.08026188	
ebelligerent0	 .03723993	 .06657644	 .00790341	
ebelligerent1	 .03359394	  .0779144	-.01072651	
ebelligerent2	 .06219148	 .12008654	 .00429643	
ebelligerent3	 .08998926	 .15682745	 .02315107	
ebelligerent4	 .01708708	 .08971886	-.05554469	
ebelligerent5	 .04643157	 .16947509	-.07661196	
ebelligerent6	 .17983234	 .42070831	-.06104364	
ebelligerent7	 .15543819	 .33805396	-.02717759	
ebelligerent8	 .09241225	 .24334791	-.05852342	
ebelligerent9	 .07542055	 .21006512	-.05922403	
ebelligerent10	 .09462546	 .25211353	-.06286261	
ebelligerent11	 .10394771	 .25292455	-.04502913	
ebelligerent12	 .08935678	 .23715503	-.05844147	
ebelligerent13	  .0789038	 .24524499	 -.0874374	
ebelligerent14	 .08017271	 .25190723	-.09156181	
ebelligerent15	 .04699987	 .18676373	-.09276398	
ebelligerent16	 .08017465	  .2249721	-.06462279	
ethird0	 .00358834	 .02716332	-.01998663	
ethird1	 .02376284	 .09478813	-.04726246	
ethird2	 .03059245	 .11002011	-.04883522	
ethird3	 .08168127	 .19025686	-.02689433	
ethird4	  .0893899	 .22103889	-.04225909	
ethird5	 .07950799	 .24290836	-.08389238	
ethird6	 .10963486	 .30847579	-.08920607	
ethird7	  .0899835	 .26486734	-.08490034	
ethird8	 .05570724	 .21212443	-.10070995	
ethird9	 .08070403	 .24747593	-.08606787	
ethird10	   .119759	 .30639424	-.06687624	
ethird11	 .15776471	 .33692127	-.02139184	
ethird12	 .14513455	 .33217681	-.04190772	
ethird13	 .13610054	 .31875834	-.04655727	
ethird14	 .20430695	 .39805602	 .01055788	
ethird15	 .27091649	 .48693214	 .05490083	
ethird16	 .28986759	 .51289512	 .06684007	
