	estimate	upper	lower	
esite0	 .01008292	 .06160911	-.04144327	
esite1	-.37432521	-.15435432	-.59429609	
esite2	-1.0548853	-.65062679	-1.4591438	
esite3	-1.8048302	-1.1702855	-2.4393749	
esite4	-2.6251283	-1.6213928	-3.6288638	
esite5	-3.4624757	-2.1544599	-4.7704915	
esite6	-4.0569588	-2.2837921	-5.8301254	
esite7	-4.3102554	-2.1962286	-6.4242823	
esite8	-4.5028009	 -2.220969	-6.7846329	
ebelligerent0	-.01211893	 .03705386	-.06129172	
ebelligerent1	-.20814472	 .00036759	-.41665703	
ebelligerent2	-.38177121	-.06663807	-.69690436	
ebelligerent3	-.51463623	-.15054575	-.87872671	
ebelligerent4	-.62900172	-.22987959	-1.0281238	
ebelligerent5	-.72113102	-.19059405	 -1.251668	
ebelligerent6	-.93656909	-.25860487	-1.6145333	
ebelligerent7	-1.1649284	-.37110558	-1.9587512	
ebelligerent8	-1.0551302	-.23356809	-1.8766924	
ethird0	-.03407717	 .04377707	-.11193141	
ethird1	-.13606629	  .0614505	-.33358308	
ethird2	-.24243737	-.05990081	-.42497393	
ethird3	-.31575194	-.12468401	-.50681986	
ethird4	-.45713334	-.23415634	-.68011035	
ethird5	-.57138047	-.27624278	-.86651817	
ethird6	-.64568261	-.26649933	-1.0248659	
ethird7	 -.8312084	-.29995432	-1.3624625	
ethird8	-.91295887	-.30446603	-1.5214517	
