	estimate	upper	lower	
esite0	-.70428854	 1.1333021	-2.5418792	
esite1	-4.0743907	-1.2673816	-6.8813997	
esite2	-7.8415924	 -5.367403	-10.315782	
esite3	-13.169281	-10.773995	-15.564568	
esite4	 -14.57982	-11.197936	-17.961705	
esite5	-13.922886	-10.316628	-17.529144	
esite6	-19.782526	-14.018917	-25.546136	
esite7	-20.351556	-10.964331	 -29.73878	
esite8	-16.995926	-7.5444023	 -26.44745	
ebelligerent0	-1.8084716	-1.1296703	 -2.487273	
ebelligerent1	-2.4798622	-.78759362	-4.1721307	
ebelligerent2	 -1.619211	 1.0748695	-4.3132915	
ebelligerent3	-3.6494618	-.73963991	-6.5592837	
ebelligerent4	-3.5461663	 .37726328	-7.4695959	
ebelligerent5	-3.4208011	 .00694474	-6.8485469	
ebelligerent6	-5.9181777	-1.5164577	-10.319898	
ebelligerent7	-6.6353709	-3.0095089	-10.261233	
ebelligerent8	-5.8758278	 -2.629654	-9.1220017	
ethird0	 -1.575462	 .22552251	-3.3764464	
ethird1	-2.5143133	-.67969678	-4.3489298	
ethird2	-2.9373588	-.19834127	-5.6763762	
ethird3	-6.3259524	-1.1953627	-11.456542	
ethird4	-8.0705401	-3.1778855	-12.963195	
ethird5	-7.8301239	-2.5236005	-13.136647	
ethird6	-8.7508825	-2.9859133	-14.515852	
ethird7	-10.136105	-4.5079592	-15.764252	
ethird8	-9.0723774	-4.1006166	-14.044138	
