	estimate	upper	lower	
esite0	-3.5717422	-2.7152442	-4.4282403	
esite1	-5.6810168	-4.5571407	 -6.804893	
esite2	-4.6117969	-2.7548503	-6.4687434	
esite3	-5.9534418	-3.4188218	-8.4880618	
esite4	-7.3466947	-4.1838102	-10.509579	
esite5	-5.6920085	-1.5471559	 -9.836861	
esite6	 -3.097624	 1.4290549	-7.6243029	
esite7	-2.3508864	 1.0308917	-5.7326644	
esite8	-.93245969	 2.2380809	-4.1030003	
ebelligerent0	-.37435036	 .11214345	-.86084418	
ebelligerent1	 .06707706	 .90611421	 -.7719601	
ebelligerent2	 .67300946	 1.7656179	-.41959896	
ebelligerent3	 .68819751	  2.555923	 -1.179528	
ebelligerent4	 .70996812	 2.7366283	-1.3166921	
ebelligerent5	 .78788928	 2.5259608	-.95018222	
ebelligerent6	 .61882805	 2.3939105	-1.1562545	
ebelligerent7	 .84854164	 2.2814334	-.58435012	
ebelligerent8	 .40761019	 1.4762049	-.66098456	
ethird0	-.45819684	 .09704772	-1.0134414	
ethird1	-.25272633	-.00843781	-.49701484	
ethird2	-.15363506	 .21169815	-.51896826	
ethird3	-.33491352	 .19171637	 -.8615434	
ethird4	-.53907482	 .16958811	-1.2477378	
ethird5	-.19891526	 .52224472	-.92007525	
ethird6	-.03270802	  .6569916	-.72240764	
ethird7	-.21785332	 .53702909	-.97273572	
ethird8	-.05277515	 .74171874	-.84726904	
