	estimate	upper	lower	
esite0	  .8999314	 1.8650048	-.06514206	
esite1	  .7841737	 2.0204804	-.45213303	
esite2	 1.6374149	 2.5596028	 .71522692	
esite3	 2.0575171	 2.8705469	 1.2444873	
esite4	 2.3370374	 3.2245571	 1.4495178	
esite5	 .47040856	 1.7725987	-.83178158	
esite6	 .31704547	 1.4779456	-.84385463	
esite7	  .4355722	 1.8819109	-1.0107665	
esite8	 .59977618	 2.1711621	 -.9716097	
ebelligerent0	 .35198984	 .94010622	-.23612655	
ebelligerent1	 1.6381024	 3.0273749	 .24882995	
ebelligerent2	  2.350123	 3.1573633	 1.5428826	
ebelligerent3	 2.3330525	  2.883805	 1.7822999	
ebelligerent4	 2.0665494	 3.1533761	 .97972278	
ebelligerent5	 1.3031476	 2.4056499	 .20064535	
ebelligerent6	 .31558503	 1.3335456	-.70237552	
ebelligerent7	-.03531963	 .73049987	-.80113913	
ebelligerent8	-.24782162	 .22815338	-.72379662	
ethird0	-.11725724	 .07398126	-.30849573	
ethird1	 .01039441	 .09280803	-.07201921	
ethird2	 .04423616	 .17071601	 -.0822437	
ethird3	 .06586988	 .25503785	 -.1232981	
ethird4	 .10002961	 .30546163	 -.1054024	
ethird5	   .108704	 .38134832	-.16394032	
ethird6	 .15799562	 .54635529	-.23036405	
ethird7	 .14653033	 .56949812	-.27643746	
ethird8	 .16474819	 .56076969	-.23127331	
