	estimate	upper	lower	
esite0	 .25351806	 .39412272	  .1129134	
esite1	 .71226909	 .89240734	 .53213084	
esite2	  .7010364	 .91356567	 .48850713	
esite3	 .79878681	  1.050647	 .54692663	
esite4	 .82670652	 1.1017762	 .55163681	
esite5	 .31697235	 .47824564	 .15569907	
esite6	 .14960522	 .25874907	 .04046138	
esite7	  -.004168	 .08981916	-.09815516	
esite8	  .0143523	 .10461591	-.07591131	
ebelligerent0	 .08969718	 .16835392	 .01104044	
ebelligerent1	 .60515854	 1.0581294	 .15218766	
ebelligerent2	 .42199331	 .49677162	   .347215	
ebelligerent3	 .50068971	 .67375597	 .32762344	
ebelligerent4	 .46573237	 .69446292	 .23700182	
ebelligerent5	 .13871543	 .39231066	 -.1148798	
ebelligerent6	 .08904531	 .27383442	 -.0957438	
ebelligerent7	 .06006676	 .16041581	-.04028229	
ebelligerent8	 .03432185	 .14746062	-.07881692	
ethird0	-.00308305	 .02104562	-.02721173	
ethird1	 .01139984	 .05715012	-.03435044	
ethird2	 -.0184886	 .00931484	-.04629203	
ethird3	-.00135017	 .03878095	-.04148129	
ethird4	 .00932689	 .05729193	-.03863814	
ethird5	 .02833595	 .09346589	  -.036794	
ethird6	 .03841401	 .10544715	-.02861913	
ethird7	  .0456261	 .13890562	-.04765342	
ethird8	 .03537397	 .11915001	-.04840206	
