	estimate	upper	lower	
esite0	 .85974255	 1.5389658	 .18051933	
esite1	 2.7228734	 4.1098893	 1.3358576	
esite2	 4.2451979	 6.6160764	 1.8743194	
esite3	 5.1333839	 8.0333283	 2.2334396	
esite4	 5.4926353	  8.986236	 1.9990347	
esite5	 6.1246484	 9.7776953	 2.4716015	
esite6	 6.6243012	 10.762675	 2.4859276	
esite7	 5.5503553	 10.124693	 .97601813	
esite8	 5.3098784	 10.531896	 .08786116	
ebelligerent0	-.14187478	  .1433083	-.42705786	
ebelligerent1	 .25055922	 .89143638	-.39031793	
ebelligerent2	 .29730863	 1.0040869	 -.4094696	
ebelligerent3	-.65579622	 .19607332	-1.5076658	
ebelligerent4	-1.1931263	 .00057257	-2.3868252	
ebelligerent5	-1.7814692	-.02603906	-3.5368993	
ebelligerent6	 -2.791959	-.41179361	-5.1721243	
ebelligerent7	-3.4002832	-.31867255	-6.4818939	
ebelligerent8	-3.6346928	 -.3843383	-6.8850474	
ethird0	-.02599682	 .11151969	-.16351334	
ethird1	 .35769405	 .65105503	 .06433307	
ethird2	 .19011788	 .79711444	-.41687868	
ethird3	-.78697853	  .2808747	-1.8548318	
ethird4	-1.5503764	 -.6064569	-2.4942959	
ethird5	-2.1640673	-1.2890889	-3.0390457	
ethird6	 -3.477726	-2.3421748	-4.6132772	
ethird7	 -4.489055	-3.1071486	-5.8709614	
ethird8	-5.1607745	-3.4962588	-6.8252902	
