	estimate	upper	lower	
esite0	 .19070841	 .33206614	 .04935067	
esite1	 .04968979	 .27179277	-.17241319	
esite2	-.25109619	-.00326639	-.49892599	
esite3	-.57929221	-.28211045	-.87647398	
esite4	  -.820635	 -.4263611	-1.2149089	
esite5	-.82973358	 -.2254615	-1.4340057	
esite6	-.83350088	-.13511189	-1.5318899	
esite7	-.59857334	 .20812021	-1.4052669	
esite8	-.60419087	 .29245487	-1.5008366	
ebelligerent0	 .08756953	 .15224145	 .02289761	
ebelligerent1	-.03691597	 .22908834	-.30292029	
ebelligerent2	-.06403323	 .32784278	-.45590925	
ebelligerent3	 .06811705	 .44429619	-.30806208	
ebelligerent4	  .3823121	 .86339808	-.09877389	
ebelligerent5	 .91337682	 1.7053721	 .12138158	
ebelligerent6	 1.0589261	 2.0214308	 .09642141	
ebelligerent7	 1.1818837	 2.3410775	 .02268995	
ebelligerent8	 1.4235371	 2.5543857	 .29268845	
ethird0	 .07613311	 .12561332	 .02665291	
ethird1	 .07042208	 .18256554	-.04172138	
ethird2	 .05321558	 .24114923	-.13471807	
ethird3	 .18862059	 .39479993	-.01755875	
ethird4	 .41458761	 .73090823	   .098267	
ethird5	  .9086502	 1.4943609	 .32293945	
ethird6	 1.1967636	  1.908586	  .4849412	
ethird7	 1.3679368	 2.3480562	 .38781738	
ethird8	  1.436401	 2.4540038	 .41879815	
