	estimate	upper	lower	
esite0	 .69476883	 2.7825973	-1.3930597	
esite1	-2.1111641	-.30018797	-3.9221402	
esite2	-5.1452764	-2.8293834	-7.4611694	
esite3	-6.8303677	-4.2820529	-9.3786824	
esite4	-1.8828646	  2.896882	-6.6626111	
esite5	-1.3120521	 1.5557777	-4.1798818	
esite6	-1.0980907	 3.3211684	-5.5173498	
esite7	 .54680212	 4.4038026	-3.3101984	
esite8	 1.3534532	 4.9015865	-2.1946801	
ebelligerent0	-1.1994165	-.07884687	-2.3199861	
ebelligerent1	-1.9327661	 .91891426	-4.7844464	
ebelligerent2	-.42666884	  4.643117	-5.4964547	
ebelligerent3	 .52113689	 4.0621439	-3.0198701	
ebelligerent4	 2.4998072	  5.171441	 -.1718265	
ebelligerent5	 1.1292068	 4.4370414	-2.1786279	
ebelligerent6	 2.5264284	 6.8193589	 -1.766502	
ebelligerent7	 6.2053725	 9.2994541	  3.111291	
ebelligerent8	 5.3738864	 9.0087519	 1.7390208	
ethird0	-.19052259	 .44459986	-.82564504	
ethird1	-1.7687396	-.84588611	 -2.691593	
ethird2	-1.1067411	 1.7740656	-3.9875477	
ethird3	 -.0631989	 2.2011047	-2.3275025	
ethird4	 .32918552	 2.4832506	-1.8248796	
ethird5	-.90630248	 1.4712409	-3.2838459	
ethird6	 1.7048349	 4.6097536	-1.2000837	
ethird7	 4.4201742	 9.1356993	-.29535088	
ethird8	 3.7164528	 9.7538432	-2.3209377	
