	estimate	upper	lower	
esite0	-2.9561631	-2.2622594	-3.6500669	
esite1	-5.1707393	-3.6441179	-6.6973608	
esite2	 -4.515471	-2.1315881	-6.8993539	
esite3	-3.8981374	-2.5477792	-5.2484957	
esite4	-3.8850204	-2.3673556	-5.4026852	
esite5	-1.9974885	-.82433468	-3.1706422	
esite6	 .23816198	 1.3590189	-.88269498	
esite7	 .28801537	 1.3223408	-.74631003	
esite8	  .8675926	 2.2550515	-.51986626	
ebelligerent0	-.14580095	 .34966081	-.64126271	
ebelligerent1	 .25764695	 .93259718	-.41730328	
ebelligerent2	 .92796044	 1.7296273	  .1262936	
ebelligerent3	 1.7019332	 3.1303322	 .27353411	
ebelligerent4	 2.4775847	 5.0844407	-.12927137	
ebelligerent5	 2.9237286	 5.3481921	 .49926515	
ebelligerent6	 2.8729602	 5.5444304	 .20149004	
ebelligerent7	   2.27899	  4.313188	 .24479206	
ebelligerent8	 1.9081319	 3.5336986	 .28256516	
ethird0	-.08492585	 .15675976	-.32661147	
ethird1	  .1332834	 .31680833	-.05024153	
ethird2	 .45719193	 .85370241	 .06068144	
ethird3	  1.324741	 1.7032267	 .94625529	
ethird4	  2.053308	 2.9550597	 1.1515563	
ethird5	 2.9447236	 3.8652874	 2.0241597	
ethird6	 3.2256828	 4.3531012	 2.0982644	
ethird7	 2.5998939	 3.6393327	 1.5604551	
ethird8	 2.2114433	 3.0875933	 1.3352933	
