	estimate	upper	lower	
esite0	-3.2700111	-2.4768249	-4.0631973	
esite1	-4.3463594	-3.0338285	-5.6588903	
esite2	 -3.068406	-.96683057	-5.1699814	
esite3	-3.0208665	-.99593674	-5.0457962	
esite4	-3.1544391	-1.5185058	-4.7903725	
esite5	-1.3975208	 .60671682	-3.4017584	
esite6	 .32670959	 2.7362149	-2.0827957	
esite7	-.09797868	 1.7355644	-1.9315217	
esite8	   .265389	  2.511477	 -1.980699	
ebelligerent0	-.40097069	 .20991214	-1.0118535	
ebelligerent1	 .11946788	 .89664506	 -.6577093	
ebelligerent2	 1.4800469	 2.3442704	 .61582349	
ebelligerent3	 2.6737519	 4.3726638	 .97483996	
ebelligerent4	 3.8561114	  7.402346	 .30987678	
ebelligerent5	 3.7212264	 6.3904497	  1.052003	
ebelligerent6	 3.4628743	 6.7606716	 .16507702	
ebelligerent7	 2.6804935	 5.1905653	  .1704216	
ebelligerent8	 1.5480201	 3.4206784	-.32463826	
ethird0	-.28639543	-.02560239	-.54718846	
ethird1	-.23973993	 .28308517	-.76256502	
ethird2	 .59832745	 1.5589839	-.36232897	
ethird3	 1.5666033	 2.0914811	 1.0417254	
ethird4	  2.409011	 4.3549783	 .46304376	
ethird5	 2.6466678	 3.9743453	 1.3189903	
ethird6	 2.6903997	    4.5086	 .87219933	
ethird7	 1.4998958	 2.9383625	 .06142908	
ethird8	 1.0486807	 2.0122168	 .08514459	
