	estimate	upper	lower	
esite0	 .08588921	 .16682251	 .00495592	
esite1	 .03152123	 .10145072	-.03840825	
esite2	 .05084347	 .11044727	-.00876034	
esite3	-.04852251	 .06625608	 -.1633011	
esite4	-.03180048	 .07029252	-.13389349	
esite5	-.05469374	-.00541769	 -.1039698	
esite6	-.12627406	-.05527259	-.19727553	
esite7	 -.0582763	  .0084159	-.12496849	
esite8	 .05990219	 .13641738	-.01661299	
ebelligerent0	 .04605708	 .07182755	  .0202866	
ebelligerent1	 .02411457	 .06256329	-.01433415	
ebelligerent2	 .01123724	  .0641983	-.04172382	
ebelligerent3	  .0146844	 .08175054	-.05238175	
ebelligerent4	-.03816873	 .02940229	-.10573976	
ebelligerent5	 .02381521	 .07893806	-.03130764	
ebelligerent6	 .12693348	 .25223687	 .00163008	
ebelligerent7	 .01346275	 .09923346	-.07230795	
ebelligerent8	 .03293023	 .13242596	-.06656551	
ethird0	  .0036701	 .02582903	-.01848883	
ethird1	-.00545192	 .01330224	-.02420608	
ethird2	-.03819588	-.01186556	-.06452621	
ethird3	 -.0313669	-.00113959	 -.0615942	
ethird4	-.01081023	 .03605799	-.05767844	
ethird5	 .01433836	 .06810019	-.03942347	
ethird6	 .02418631	  .0903511	-.04197848	
ethird7	-.06338267	 .00314733	-.12991268	
ethird8	-.01258993	  .0720195	-.09719935	
