	estimate	upper	lower	
esite0	 .51630259	 1.5391248	 -.5065196	
esite1	-.23400988	 1.3040122	 -1.772032	
esite2	-.26307408	  1.294338	-1.8204862	
esite3	 .12562225	 1.4568358	-1.2055913	
esite4	 1.7575855	 2.6328009	  .8823701	
esite5	 .27438693	  1.041981	-.49320717	
esite6	 .62902203	 1.7219296	-.46388554	
esite7	 .96194426	 2.7647155	-.84082701	
esite8	 1.4526985	 3.4938278	 -.5884308	
ebelligerent0	 .49549305	 .97006038	 .02092572	
ebelligerent1	 1.1701375	 2.4379614	-.09768651	
ebelligerent2	 1.4738214	 2.6691553	 .27848756	
ebelligerent3	 .99719225	 1.8536125	 .14077201	
ebelligerent4	 1.4114427	 2.4433771	 .37950826	
ebelligerent5	 .95276781	  1.451032	 .45450365	
ebelligerent6	 .55533979	 1.5522181	-.44153854	
ebelligerent7	 .39411009	 1.2238436	-.43562342	
ebelligerent8	  .2672347	 .81769639	-.28322699	
ethird0	 .10361445	 .30677081	-.09954191	
ethird1	-.53394251	-.19657879	-.87130624	
ethird2	-.88305364	-.37951729	  -1.38659	
ethird3	-1.3672153	-.80201324	-1.9324174	
ethird4	-.67682769	-.13532468	-1.2183307	
ethird5	-.37824981	 .30396857	-1.0604682	
ethird6	 .12100141	 .42510223	-.18309941	
ethird7	 .25401623	  .6036475	-.09561505	
ethird8	 .37795609	 .77756365	-.02165148	
