	estimate	upper	lower	
esite0	 .11253133	  .2450433	-.01998064	
esite1	 .11000642	 .31462011	-.09460727	
esite2	 .00473242	 .17445673	 -.1649919	
esite3	 .16903323	 .27847989	 .05958656	
esite4	  .2224514	 .52141738	-.07651458	
esite5	 .10511287	 .38782413	-.17759839	
esite6	 .05182749	 .27250903	-.16885406	
esite7	-.00936375	 .12551811	-.14424562	
esite8	 .01654484	 .14207138	-.10898171	
ebelligerent0	 .07649208	 .22525443	-.07227027	
ebelligerent1	 .27961838	 .80356769	-.24433094	
ebelligerent2	-.05465901	 .05552949	-.16484751	
ebelligerent3	 .03757044	 .20179511	-.12665422	
ebelligerent4	 -.0452912	 .30488361	  -.395466	
ebelligerent5	-.03210735	 .10784431	  -.172059	
ebelligerent6	 .05006331	 .19055208	-.09042546	
ebelligerent7	  .0841411	 .20356321	  -.035281	
ebelligerent8	 .05294787	 .17231329	-.06641755	
ethird0	-.01429408	 .10660912	-.13519728	
ethird1	-.35872123	-.24998358	-.46745888	
ethird2	-.46696752	-.35932185	-.57461319	
ethird3	-.43810442	-.30174441	-.57446444	
ethird4	-.50283415	-.30069778	-.70497053	
ethird5	-.15157709	 .02585678	-.32901096	
ethird6	-.02646829	 .08553401	-.13847059	
ethird7	  .0335214	 .11367894	-.04663614	
ethird8	 .02275514	 .09860707	-.05309678	
