	estimate	upper	lower	
ethird_trd0pct0	-.05279268	 .05851804	-.16410339	
ethird_trd0pct1	 .09965036	 .26641678	-.06711606	
ethird_trd0pct2	-.03756035	 .22408338	-.29920408	
ethird_trd0pct3	-.06371313	 .50600093	-.63342719	
ethird_trd0pct4	-.03802601	  .8137215	-.88977353	
ethird_trd0pct5	-.19531826	 .66973639	-1.0603729	
ethird_trd0pct6	-.11167196	  .9230198	-1.1463637	
ethird_trd0pct7	 .02207229	 1.1264076	-1.0822631	
ethird_trd0pct8	-.12960604	 .71930547	-.97851755	
ethird_trd0pct9	-.09327179	 .73478742	-.92133099	
ethird_trd0pct10	-.04682953	 .69962447	-.79328352	
ethird_trd0pct11	 .21393715	 1.0949354	-.66706114	
ethird_trd0pct12	 .24218315	 1.0216095	-.53724319	
ethird_trd0pct13	 .32158399	  1.083227	  -.440059	
ethird_trd0pct14	 .45521648	 1.3471909	-.43675798	
ethird_trd0pct15	 .58675352	 1.6541001	-.48059309	
ethird_trd0pct16	 .57351811	 1.7851236	-.63808738	
ethird_trd3pct0	-.18397007	 .90495044	-1.2728906	
ethird_trd3pct1	 -.2911224	 1.6070047	-2.1892495	
ethird_trd3pct2	 1.2125883	 3.9116316	 -1.486455	
ethird_trd3pct3	 1.3395684	 4.5659901	-1.8868532	
ethird_trd3pct4	-.66526488	 2.9548654	-4.2853951	
ethird_trd3pct5	-1.1647198	 2.1804157	-4.5098552	
ethird_trd3pct6	-4.4343375	-1.1773199	-7.6913551	
ethird_trd3pct7	-5.8854044	-2.5433755	-9.2274334	
ethird_trd3pct8	-6.6626622	-2.4764546	 -10.84887	
ethird_trd3pct9	 -6.345759	-1.9849135	-10.706604	
ethird_trd3pct10	-6.4402326	-2.2183179	-10.662147	
ethird_trd3pct11	-5.3508462	 -.2451452	-10.456547	
ethird_trd3pct12	 -4.787877	 .66822754	-10.243982	
ethird_trd3pct13	-3.8794011	  2.672083	-10.430885	
ethird_trd3pct14	-3.4510803	  4.480326	-11.382487	
ethird_trd3pct15	  -4.08664	 3.1523017	-11.325582	
ethird_trd3pct16	-6.4339674	-.19561231	-12.672322	
