	estimate	upper	lower	
ethird_trd0pct0	-.02540122	 -.0089686	-.04183384	
ethird_trd0pct1	 -.0264205	  .0060109	-.05885191	
ethird_trd0pct2	-.01999695	 .03089468	-.07088859	
ethird_trd0pct3	-.03107478	 .04212412	-.10427368	
ethird_trd0pct4	-.04395463	  .0399912	-.12790046	
ethird_trd0pct5	-.04843487	 .02841877	 -.1252885	
ethird_trd0pct6	 -.0533705	  .0264826	-.13322359	
ethird_trd0pct7	-.03614623	 .04228916	-.11458161	
ethird_trd0pct8	-.02961965	  .0362928	 -.0955321	
ethird_trd0pct9	-.03397108	 .03586937	-.10381152	
ethird_trd0pct10	-.01803921	 .05857252	-.09465094	
ethird_trd0pct11	-.02131302	 .06356477	-.10619082	
ethird_trd0pct12	-.00857951	 .08458366	-.10174269	
ethird_trd0pct13	-.00790222	 .09464861	-.11045306	
ethird_trd0pct14	-.00383543	 .10110132	-.10877217	
ethird_trd0pct15	-.00937183	 .09738223	-.11612589	
ethird_trd0pct16	-.03125178	 .09170909	-.15421266	
ethird_trd3pct0	-.22527649	 .00597792	 -.4565309	
ethird_trd3pct1	 .02460232	 .40724332	-.35803867	
ethird_trd3pct2	-.02649471	 .23990037	-.29288979	
ethird_trd3pct3	-.15687582	  .1434562	-.45720784	
ethird_trd3pct4	-.11148663	 .42777751	-.65075077	
ethird_trd3pct5	 .55008708	 1.0532299	 .04694428	
ethird_trd3pct6	  .6242183	  1.140482	 .10795458	
ethird_trd3pct7	 .61096508	 1.0974542	 .12447598	
ethird_trd3pct8	 1.0946803	 1.7065375	 .48282298	
ethird_trd3pct9	 1.2075732	  1.818456	  .5966903	
ethird_trd3pct10	 1.2230937	 1.7711976	 .67498988	
ethird_trd3pct11	  1.091531	 1.7015212	 .48154082	
ethird_trd3pct12	   1.09419	 1.7671797	  .4212004	
ethird_trd3pct13	 .69981767	 1.4098333	-.01019792	
ethird_trd3pct14	 .92731062	  1.677961	 .17666023	
ethird_trd3pct15	 .77287256	 1.6004424	-.05469732	
ethird_trd3pct16	 .48310661	 1.3964981	-.43028486	
