	estimate	upper	lower	
ethird_trd0pct0	 .00821805	 .04361449	 -.0271784	
ethird_trd0pct1	  .0669857	 .14235669	 -.0083853	
ethird_trd0pct2	 .15222055	  .2675421	   .036899	
ethird_trd0pct3	 .28146796	 .45207071	 .11086521	
ethird_trd0pct4	 .35476547	 .59458127	 .11494968	
ethird_trd0pct5	 .42276925	 .71546501	 .13007349	
ethird_trd0pct6	 .48493229	 .80214219	 .16772238	
ethird_trd0pct7	 .52671274	 .86047522	 .19295026	
ethird_trd0pct8	   .587917	 .98681699	 .18901701	
ethird_trd3pct0	 .23149717	 1.0719146	-.60892025	
ethird_trd3pct1	 .88247356	 2.3163223	-.55137513	
ethird_trd3pct2	 .96744371	 2.5019951	-.56710774	
ethird_trd3pct3	 1.4036126	 3.1425726	-.33534742	
ethird_trd3pct4	 2.0630845	 3.7727816	 .35338741	
ethird_trd3pct5	 2.4730412	 4.4470313	 .49905106	
ethird_trd3pct6	 2.8117438	 5.0454496	 .57803791	
ethird_trd3pct7	 1.9004419	 4.3614412	-.56055734	
ethird_trd3pct8	 1.5256213	  4.858479	-1.8072364	
