	estimate	upper	lower	
ethird_trd0pct0	-.00507005	-.00087373	-.00926638	
ethird_trd0pct1	-.01780921	-.00746526	-.02815316	
ethird_trd0pct2	-.02778932	-.00978932	-.04578932	
ethird_trd0pct3	-.03629752	-.00707697	-.06551806	
ethird_trd0pct4	-.04262741	-.00056595	-.08468887	
ethird_trd0pct5	-.05012021	 .00411645	-.10435687	
ethird_trd0pct6	-.06032455	 .00924003	-.12988913	
ethird_trd0pct7	-.06817136	 .01798306	-.15432577	
ethird_trd0pct8	-.07052959	 .02776353	-.16882271	
ethird_trd3pct0	-.02786997	 .03185934	-.08759928	
ethird_trd3pct1	-.12856616	 -.0146663	-.24246601	
ethird_trd3pct2	-.39204872	-.21506457	-.56903286	
ethird_trd3pct3	-.71368691	-.45150151	 -.9758723	
ethird_trd3pct4	-.97460029	-.62932456	 -1.319876	
ethird_trd3pct5	-1.1909913	-.76278272	-1.6191998	
ethird_trd3pct6	-1.3304229	-.80005382	 -1.860792	
ethird_trd3pct7	 -1.765657	-1.0752918	-2.4560222	
ethird_trd3pct8	-1.6923915	-.89440105	-2.4903819	
