	estimate	upper	lower	
ethird_trd0pct0	-.02824651	-.01719936	-.03929367	
ethird_trd0pct1	-.06105552	-.04101641	-.08109462	
ethird_trd0pct2	 -.0327376	  .0029016	-.06837679	
ethird_trd0pct3	-.03540619	 .01436646	-.08517885	
ethird_trd0pct4	-.02819947	 .02908238	-.08548131	
ethird_trd0pct5	 -.0278584	 .03290703	-.08862384	
ethird_trd0pct6	-.03509145	 .04366653	-.11384944	
ethird_trd0pct7	   -.02997	  .0584201	-.11836009	
ethird_trd0pct8	-.03583943	 .04847527	-.12015412	
ethird_trd3pct0	 -.3839677	-.13949898	-.62843642	
ethird_trd3pct1	-.59732449	-.34124252	-.85340646	
ethird_trd3pct2	-.94940715	-.47952642	-1.4192879	
ethird_trd3pct3	-1.4646552	-.18558235	 -2.743728	
ethird_trd3pct4	-2.0337605	 -.3782485	-3.6892725	
ethird_trd3pct5	-1.6672994	-.17843545	-3.1561633	
ethird_trd3pct6	-1.6708284	-.22917979	 -3.112477	
ethird_trd3pct7	-1.5586645	-.42461136	-2.6927176	
ethird_trd3pct8	-1.2440755	-.15575364	-2.3323973	
