	estimate	upper	lower	
ethird_trd0pct0	-.00215636	 .00211237	-.00642509	
ethird_trd0pct1	-.00550981	 .00521356	-.01623319	
ethird_trd0pct2	-.00089844	 .00844318	-.01024007	
ethird_trd0pct3	-.00400629	 .01042217	-.01843475	
ethird_trd0pct4	 -.0120965	 .01267098	-.03686398	
ethird_trd0pct5	 -.0069867	 .01823045	-.03220385	
ethird_trd0pct6	-.00596856	 .02293058	-.03486769	
ethird_trd0pct7	-.00363861	 .02080082	-.02807803	
ethird_trd0pct8	 .00279023	 .02184898	-.01626852	
ethird_trd3pct0	 .02791384	 .05838926	-.00256157	
ethird_trd3pct1	 .09332588	 .16459037	 .02206138	
ethird_trd3pct2	 .09361887	 .17842781	 .00880993	
ethird_trd3pct3	 .11510713	 .20785241	 .02236184	
ethird_trd3pct4	 .18147341	 .28743388	 .07551294	
ethird_trd3pct5	 .28159235	  .3777887	   .185396	
ethird_trd3pct6	 .31218372	 .41083838	 .21352907	
ethird_trd3pct7	 .20752719	 .30668301	 .10837138	
ethird_trd3pct8	 .16157167	 .25327588	 .06986746	
