	estimate	upper	lower	
ethird_trd0pct0	 .00088741	 .00524737	-.00347255	
ethird_trd0pct1	 .00066318	 .00806966	 -.0067433	
ethird_trd0pct2	-.00738457	 .00419362	-.01896277	
ethird_trd0pct3	-.01744465	 .00694949	-.04183879	
ethird_trd0pct4	-.01324234	  .0124014	-.03888609	
ethird_trd0pct5	-.01135534	 .01566016	-.03837084	
ethird_trd0pct6	-.01544501	 .01274027	 -.0436303	
ethird_trd0pct7	-.02521138	 .01150542	-.06192818	
ethird_trd0pct8	-.02840732	  .0122479	-.06906254	
ethird_trd3pct0	-.11127372	-.06042578	-.16212166	
ethird_trd3pct1	-.14931889	-.07635903	-.22227875	
ethird_trd3pct2	-.13033206	-.03481981	-.22584432	
ethird_trd3pct3	-.10331513	 .03037222	-.23700249	
ethird_trd3pct4	-.20488239	-.03354569	-.37621909	
ethird_trd3pct5	-.23394781	-.05241445	-.41548117	
ethird_trd3pct6	-.26341936	-.09016845	-.43667028	
ethird_trd3pct7	-.21702283	-.01620686	-.41783879	
ethird_trd3pct8	-.16245774	 .04475292	-.36966839	
