	estimate	upper	lower	
ethird_trd0pct0	-.00070557	 .00043111	-.00184224	
ethird_trd0pct1	-.00041301	 .00072656	-.00155258	
ethird_trd0pct2	-.00029816	 .00159417	 -.0021905	
ethird_trd0pct3	-.00029564	 .00164226	-.00223355	
ethird_trd0pct4	 .00110704	 .00429093	-.00207684	
ethird_trd0pct5	 .00122257	 .00426398	-.00181885	
ethird_trd0pct6	 .00104338	 .00447969	-.00239294	
ethird_trd0pct7	-.00008995	 .00285315	-.00303306	
ethird_trd0pct8	-1.566e-06	 .00345843	-.00346156	
ethird_trd3pct0	-.02636864	 .01147494	-.06421221	
ethird_trd3pct1	-.00095814	 .01744311	-.01935939	
ethird_trd3pct2	-.03953111	 .01322086	-.09228308	
ethird_trd3pct3	-.03809218	  .0094138	-.08559817	
ethird_trd3pct4	-.05302427	 -.0037154	-.10233314	
ethird_trd3pct5	-.03547551	  .0069865	-.07793751	
ethird_trd3pct6	-.03873462	  .0050245	-.08249374	
ethird_trd3pct7	-.03753062	 .00500409	-.08006532	
ethird_trd3pct8	-.03849491	 .00408885	-.08107867	
