	estimate	upper	lower	
ethird_trd0pct0	 .00425099	 .01083229	-.00233031	
ethird_trd0pct1	 .01852765	 .04428356	-.00722825	
ethird_trd0pct2	 .06760824	 .11553936	 .01967711	
ethird_trd0pct3	 .09305035	 .14813899	  .0379617	
ethird_trd0pct4	 .13372378	  .2000841	 .06736345	
ethird_trd0pct5	 .16475244	 .24634447	 .08316041	
ethird_trd0pct6	 .17247355	  .2669516	  .0779955	
ethird_trd0pct7	 .17077738	 .27738055	 .06417421	
ethird_trd0pct8	 .16873742	 .28173381	 .05574102	
ethird_trd3pct0	-.01128017	 .04972397	-.07228431	
ethird_trd3pct1	-.05637902	   .044862	-.15762005	
ethird_trd3pct2	 -.1925338	-.02699276	-.35807485	
ethird_trd3pct3	-.40071786	-.14980007	-.65163564	
ethird_trd3pct4	-.52574693	-.20068444	-.85080942	
ethird_trd3pct5	-.59024844	-.18852793	-.99196895	
ethird_trd3pct6	 -.5953558	-.08308949	-1.1076221	
ethird_trd3pct7	-.79442373	-.09186953	-1.4969779	
ethird_trd3pct8	-.60673728	 .19864967	-1.4121242	
