	estimate	upper	lower	
ethird_trd0pct0	 .10098088	 .17749158	 .02447018	
ethird_trd0pct1	 .32036253	 .43798354	 .20274151	
ethird_trd0pct2	 .24356354	 .33172139	 .15540568	
ethird_trd0pct3	 .28307417	  .4345254	 .13162294	
ethird_trd0pct4	 .29389687	 .48961858	 .09817517	
ethird_trd0pct5	 .20787751	 .34742584	 .06832917	
ethird_trd0pct6	 .13600259	 .27736471	-.00535954	
ethird_trd0pct7	 .10113761	 .23359613	-.03132091	
ethird_trd0pct8	 .08794603	 .18895907	-.01306702	
ethird_trd3pct0	-.19207693	 .05339541	-.43754927	
ethird_trd3pct1	 .44217867	   .696101	 .18825635	
ethird_trd3pct2	 .43919968	  .6837312	 .19466816	
ethird_trd3pct3	 .83316064	 1.0810392	 .58528208	
ethird_trd3pct4	 .71099546	 1.1790002	  .2429907	
ethird_trd3pct5	 1.5848957	 2.0735156	 1.0962757	
ethird_trd3pct6	 1.5051974	 1.9643143	 1.0460805	
ethird_trd3pct7	 1.4727218	 1.8755454	 1.0698982	
ethird_trd3pct8	 1.5923282	  2.129351	 1.0553055	
