	estimate	upper	lower	
ethird_trd0pct0	 .00090791	 .00252307	-.00070726	
ethird_trd0pct1	-.00119194	 .00397563	-.00635951	
ethird_trd0pct2	-.00135661	 .00458117	-.00729439	
ethird_trd0pct3	 .00053034	 .00551719	-.00445651	
ethird_trd0pct4	-.00263692	 .00198953	-.00726337	
ethird_trd0pct5	-.00053566	 .00502613	-.00609744	
ethird_trd0pct6	-.00149329	 .00539896	-.00838553	
ethird_trd0pct7	-.00231341	 .00597416	-.01060098	
ethird_trd0pct8	 -.0008139	 .00941243	-.01104024	
ethird_trd3pct0	  .0304868	 .06209392	-.00112031	
ethird_trd3pct1	 .02172631	 .07895138	-.03549876	
ethird_trd3pct2	 .01474995	 .08245799	-.05295808	
ethird_trd3pct3	-.00072485	 .06120558	-.06265529	
ethird_trd3pct4	 .03206544	  .0795683	-.01543741	
ethird_trd3pct5	 .10651815	 .14703767	 .06599863	
ethird_trd3pct6	 .09135718	 .13945299	 .04326137	
ethird_trd3pct7	 .05560051	 .13927495	-.02807394	
ethird_trd3pct8	 .08719558	 .17448425	-.00009309	
