	estimate	upper	lower	
ethird_trd0pct0	-.02304445	-.00627863	-.03981026	
ethird_trd0pct1	-.06754925	-.05548051	-.07961799	
ethird_trd0pct2	-.05738189	 -.0226867	-.09207707	
ethird_trd0pct3	-.06387091	-.02641942	-.10132239	
ethird_trd0pct4	-.03611067	 .00590714	-.07812848	
ethird_trd0pct5	-.00180021	 .00758854	-.01118895	
ethird_trd0pct6	 .00533066	 .01425643	-.00359511	
ethird_trd0pct7	 .00589894	 .01423379	-.00243591	
ethird_trd0pct8	  .0069406	 .01549908	-.00161787	
ethird_trd3pct0	-.00157473	 .05441929	-.05756876	
ethird_trd3pct1	-.16129514	-.06719317	-.25539711	
ethird_trd3pct2	-.19385229	-.12543938	-.26226519	
ethird_trd3pct3	-.14766976	-.10652793	-.18881159	
ethird_trd3pct4	-.20225445	-.14555021	-.25895869	
ethird_trd3pct5	-.04401355	 .02689321	-.11492031	
ethird_trd3pct6	-.03018319	 .03253277	-.09289915	
ethird_trd3pct7	-.02082668	 .01966043	 -.0613138	
ethird_trd3pct8	-.01452079	 .01989166	-.04893325	
