	estimate	upper	lower	
ebell_trd0pct0	-.01628479	 .03341037	-.06597996	
ebell_trd0pct1	-.00345255	 .09292964	-.09983474	
ebell_trd0pct2	 .03153137	 .14930351	-.08624077	
ebell_trd0pct3	  .1788027	 .41192257	-.05431716	
ebell_trd0pct4	 .26408486	 .60909936	-.08092964	
ebell_trd0pct5	 .33006025	 .77713822	-.11701772	
ebell_trd0pct6	 .33484758	 .80697264	-.13727748	
ebell_trd0pct7	 .34524289	 .79371162	-.10322584	
ebell_trd0pct8	 .39142979	 .86729839	-.08443881	
ebell_trd3pct0	 .76826296	 2.5204401	-.98391413	
ebell_trd3pct1	 3.4778079	 7.7476143	-.79199851	
ebell_trd3pct2	 4.4450595	 7.6580389	 1.2320802	
ebell_trd3pct3	 5.1219123	 8.2395052	 2.0043193	
ebell_trd3pct4	 9.9750061	 15.460628	 4.4893838	
ebell_trd3pct5	 10.509083	 16.703063	 4.3151029	
ebell_trd3pct6	 14.592191	 23.415593	 5.7687886	
ebell_trd3pct7	 16.103446	 26.695977	 5.5109146	
ebell_trd3pct8	 15.746793	 26.750366	   4.74322	
