	estimate	upper	lower	
ebell_trd0pct0	-.01006034	-.00684644	-.01327423	
ebell_trd0pct1	-.02903303	-.01142189	-.04664418	
ebell_trd0pct2	-.04059807	-.00561888	-.07557725	
ebell_trd0pct3	-.04825213	-.00228601	-.09421825	
ebell_trd0pct4	-.05775974	-.00361788	 -.1119016	
ebell_trd0pct5	-.06072288	-.00020693	-.12123882	
ebell_trd0pct6	-.05326723	 .01802241	-.12455686	
ebell_trd0pct7	-.02540876	 .04254413	-.09336166	
ebell_trd0pct8	-.03171371	 .03717703	-.10060446	
ebell_trd3pct0	-.00300802	 .05133015	 -.0573462	
ebell_trd3pct1	 -.6248333	-.45307969	 -.7965869	
ebell_trd3pct2	-1.0635634	-.71686967	-1.4102571	
ebell_trd3pct3	-1.3741221	-.87947286	-1.8687713	
ebell_trd3pct4	-1.7261384	-1.1154234	-2.3368535	
ebell_trd3pct5	-2.1626943	-1.4492546	 -2.876134	
ebell_trd3pct6	-2.7812267	-1.9920985	 -3.570355	
ebell_trd3pct7	-3.1813114	-2.2479036	-4.1147192	
ebell_trd3pct8	-3.2669333	-2.2241149	-4.3097518	
