	estimate	upper	lower	
ebell_trd0pct0	 .30214704	 .57692386	 .02737021	
ebell_trd0pct1	 .66054166	 1.1460171	 .17506626	
ebell_trd0pct2	 .49203115	 1.0096537	 -.0255914	
ebell_trd0pct3	 .40069415	 .77961677	 .02177154	
ebell_trd0pct4	 .42506901	 .85614719	-.00600916	
ebell_trd0pct5	 .30438634	 .70010753	-.09133485	
ebell_trd0pct6	 .22023855	 .48215156	-.04167446	
ebell_trd0pct7	 .37799332	 .70135518	 .05463147	
ebell_trd0pct8	 .41590622	 .73383645	 .09797599	
ebell_trd3pct0	 -1.665561	 .38685059	-3.7179725	
ebell_trd3pct1	-5.3183556	-.89255603	-9.7441552	
ebell_trd3pct2	-5.0918417	-.83466039	-9.3490231	
ebell_trd3pct3	 -5.539565	-.89160731	-10.187523	
ebell_trd3pct4	-9.8336399	-3.8765932	-15.790686	
ebell_trd3pct5	-9.8148712	-3.1478322	 -16.48191	
ebell_trd3pct6	-18.816732	-12.117601	-25.515864	
ebell_trd3pct7	-20.385233	-14.544816	 -26.22565	
ebell_trd3pct8	-17.043092	-10.833899	-23.252285	
