	estimate	upper	lower	
ebell_trd0pct0	 .00163982	 .03052384	 -.0272442	
ebell_trd0pct1	 .02344775	 .08109212	-.03419661	
ebell_trd0pct2	 .01450011	 .10009968	-.07109946	
ebell_trd0pct3	-.01839172	 .09654498	-.13332843	
ebell_trd0pct4	-.05705647	 .07151841	-.18563136	
ebell_trd0pct5	-.11205376	 .03218098	-.25628851	
ebell_trd0pct6	-.10421495	 .07318519	-.28161509	
ebell_trd0pct7	-.09271874	 .06719352	-.25263101	
ebell_trd0pct8	-.06471085	 .06997343	-.19939513	
ebell_trd3pct0	-1.7241473	-.77431862	-2.6739761	
ebell_trd3pct1	-3.2066283	-1.6393686	-4.7738881	
ebell_trd3pct2	-3.5653912	-1.9665246	-5.1642579	
ebell_trd3pct3	 -4.896417	-2.3588354	-7.4339986	
ebell_trd3pct4	 -6.765663	-3.2049756	 -10.32635	
ebell_trd3pct5	-6.6818198	-2.8567872	-10.506852	
ebell_trd3pct6	-6.5718443	-2.9919849	-10.151704	
ebell_trd3pct7	-6.0909972	-2.6560101	-9.5259843	
ebell_trd3pct8	-5.0204095	-1.6160491	-8.4247698	
