	estimate	upper	lower	
ebell_trd0pct0	 .08654806	 .12916221	 .04393391	
ebell_trd0pct1	 .14756784	 .21034554	 .08479015	
ebell_trd0pct2	 .16632061	 .25485918	 .07778203	
ebell_trd0pct3	 .19732324	 .31529923	 .07934725	
ebell_trd0pct4	 .18982086	  .3198118	 .05982992	
ebell_trd0pct5	 .14269158	 .27055176	  .0148314	
ebell_trd0pct6	 .14261298	 .24942637	 .03579959	
ebell_trd0pct7	 .16170371	 .25679272	  .0666147	
ebell_trd0pct8	 .13494515	 .22420947	 .04568083	
ebell_trd3pct0	-2.0690291	-1.1266549	-3.0114032	
ebell_trd3pct1	-3.2188579	-1.5695991	-4.8681167	
ebell_trd3pct2	-2.7093751	-1.9951589	-3.4235914	
ebell_trd3pct3	-3.5012995	-2.6102119	-4.3923872	
ebell_trd3pct4	-4.2084911	-3.0282832	 -5.388699	
ebell_trd3pct5	-3.3991141	-2.1054859	-4.6927423	
ebell_trd3pct6	-2.9030291	-1.6982918	-4.1077664	
ebell_trd3pct7	-2.2441731	-1.1351865	-3.3531597	
ebell_trd3pct8	-.98002359	 .03368675	-1.9937339	
