	estimate	upper	lower	
ebell_trd0pct0	 .00005773	 .00401668	-.00390123	
ebell_trd0pct1	-.00425829	 .00190517	-.01042176	
ebell_trd0pct2	-.00883272	-.00247643	-.01518902	
ebell_trd0pct3	-.00863744	-.00177474	-.01550015	
ebell_trd0pct4	 -.0052521	 .00520439	-.01570858	
ebell_trd0pct5	-.00543312	 .00751641	-.01838265	
ebell_trd0pct6	-.00587198	 .00516398	-.01690795	
ebell_trd0pct7	 -.0051591	 .00363314	-.01395135	
ebell_trd0pct8	-.00090816	 .00712194	-.00893826	
ebell_trd3pct0	 .08033671	 .18029438	-.01962097	
ebell_trd3pct1	 .14123937	 .23677728	 .04570145	
ebell_trd3pct2	 .24309598	 .37505464	 .11113732	
ebell_trd3pct3	 .29774263	 .56361539	 .03186987	
ebell_trd3pct4	 .18538179	 .35959748	  .0111661	
ebell_trd3pct5	  .4086394	 .58702692	 .23025188	
ebell_trd3pct6	 1.4043349	 1.6096253	 1.1990446	
ebell_trd3pct7	 1.2584506	 1.4745696	 1.0423317	
ebell_trd3pct8	 .93754533	 1.1596975	 .71539315	
