	estimate	upper	lower	
ebell_trd0pct0	  .1258792	  .1852393	  .0665191	
ebell_trd0pct1	 .22416451	 .36381135	 .08451768	
ebell_trd0pct2	 .19020735	 .36358939	 .01682531	
ebell_trd0pct3	 .14477607	 .34010016	-.05054802	
ebell_trd0pct4	 .10826538	 .29042278	-.07389201	
ebell_trd0pct5	 .05143369	 .15882875	-.05596137	
ebell_trd0pct6	 .00024427	 .07221509	-.07172655	
ebell_trd0pct7	 .00917074	 .06551925	-.04717777	
ebell_trd0pct8	 .00313812	 .05363481	-.04735857	
ebell_trd3pct0	 .38656971	 1.9537243	-1.1805849	
ebell_trd3pct1	 2.2182878	 4.6298664	-.19329074	
ebell_trd3pct2	 2.9366896	 5.3213436	 .55203547	
ebell_trd3pct3	 3.6066004	 5.2717822	 1.9414187	
ebell_trd3pct4	 2.8764625	 4.1638685	 1.5890564	
ebell_trd3pct5	 .86513068	 2.4020014	-.67174002	
ebell_trd3pct6	-.65487387	  .2717873	 -1.581535	
ebell_trd3pct7	-.43717201	 .67368692	-1.5480309	
ebell_trd3pct8	 .07263284	 2.0275692	-1.8823035	
