	estimate	upper	lower	
ebell_trd0pct0	 .02442955	 .03759633	 .01126278	
ebell_trd0pct1	 .05827074	 .08481034	 .03173115	
ebell_trd0pct2	  .0345907	 .06501686	 .00416454	
ebell_trd0pct3	 .03414424	 .07013353	-.00184505	
ebell_trd0pct4	 .01641085	  .0426289	-.00980721	
ebell_trd0pct5	 .00346668	 .01317174	-.00623838	
ebell_trd0pct6	 .00608187	 .01781466	-.00565092	
ebell_trd0pct7	  .0067308	 .01491832	-.00145673	
ebell_trd0pct8	 .00279408	 .00919871	-.00361054	
ebell_trd3pct0	-.48150566	 .21846233	-1.1814737	
ebell_trd3pct1	 2.8153823	 6.8561191	-1.2253544	
ebell_trd3pct2	 .68533257	 1.4194392	-.04877411	
ebell_trd3pct3	 .52137395	 1.1720254	-.12927749	
ebell_trd3pct4	 .90255639	 1.5521769	 .25293584	
ebell_trd3pct5	 .14684221	 .62832407	-.33463966	
ebell_trd3pct6	 .05238696	 .50343665	-.39866272	
ebell_trd3pct7	 .09353657	 .46800525	-.28093212	
ebell_trd3pct8	 .02012388	 .43714153	-.39689377	
