	estimate	upper	lower	
esite0	 -.2163282	 .78996098	-1.2226174	
esite1	 1.0898733	 2.5077162	-.32796962	
esite2	 2.5281311	 4.0794283	 .97683389	
esite3	 3.9366146	 5.9318085	 1.9414207	
esite4	 4.9080132	 7.4544027	 2.3616238	
esite5	 5.2116361	 6.6409405	 3.7823317	
esite6	 6.3464246	 7.8208749	 4.8719742	
esite7	 4.5152897	 6.9253295	 2.1052499	
esite8	 3.4540767	 6.9242973	-.01614382	
ebelligerent0	-.05661016	 .36174355	-.47496387	
ebelligerent1	 .30813974	 1.1617262	-.54544674	
ebelligerent2	 .33550099	 1.1572161	-.48621408	
ebelligerent3	 .50552511	 1.1597248	-.14867462	
ebelligerent4	 .78919997	 1.6504045	-.07200455	
ebelligerent5	 .76023786	 1.5496552	-.02917951	
ebelligerent6	 1.3554127	 2.2421837	 .46864174	
ebelligerent7	 .99341737	 1.3753066	 .61152811	
ebelligerent8	 .47591835	 .80876339	  .1430733	
ethird0	 .00991919	 .43798319	 -.4181448	
ethird1	 .42629833	 1.0743174	-.22172074	
ethird2	 .45523543	 1.2114109	-.30093999	
ethird3	  .9773766	 1.6279776	 .32677556	
ethird4	 1.2853017	 1.8616493	 .70895416	
ethird5	 1.3701972	 2.0652553	 .67513919	
ethird6	  1.879647	 2.5772054	 1.1820885	
ethird7	 1.3171328	 1.7577174	 .87654825	
ethird8	 .62425473	 1.0228001	 .22570933	
