	estimate	upper	lower	
esite0	  .3162242	 .44141228	 .19103612	
esite1	 .35672503	 .53649024	 .17695983	
esite2	 .18266346	  .4205448	-.05521788	
esite3	-.03349738	  .2325897	-.29958445	
esite4	-.32610093	-.11291321	-.53928864	
esite5	-.67375078	-.48440434	-.86309723	
esite6	-.84437296	 -.5514166	-1.1373293	
esite7	-.75075843	 -.3220048	-1.1795121	
esite8	-.67154396	  -.229226	-1.1138619	
ebelligerent0	 .07472852	 .12824321	 .02121383	
ebelligerent1	-.00305289	 .10852911	-.11463489	
ebelligerent2	-.03801796	 .10672548	 -.1827614	
ebelligerent3	-.02646099	 .09840657	-.15132854	
ebelligerent4	 .00205958	 .11679194	-.11267277	
ebelligerent5	 .04477861	 .16511483	-.07555761	
ebelligerent6	-.04872437	 .14440659	-.24185534	
ebelligerent7	-.17045455	 .04659038	-.38749947	
ebelligerent8	 .03017319	 .19066106	-.13031468	
ethird0	 .01488921	 .10089903	 -.0711206	
ethird1	-.01788498	 .19693019	-.23270016	
ethird2	-.03817452	 .15630777	-.23265681	
ethird3	-.01710692	 .16050824	-.19472208	
ethird4	-.06030511	 .11067838	 -.2312886	
ethird5	-.07844928	 .05794231	-.21484086	
ethird6	-.06398261	 .05436503	-.18233024	
ethird7	-.17246757	-.04261832	-.30231682	
ethird8	-.19000424	-.05985378	-.32015471	
