	estimate	upper	lower	
esite0	 1.0440141	  2.657966	-.56993783	
esite1	-.23242909	 2.3696487	-2.8345069	
esite2	-1.9332783	 .55999205	-4.4265487	
esite3	-4.9050372	-2.1064058	-7.7036686	
esite4	-5.0973017	-.90582703	-9.2887763	
esite5	-3.0575371	-1.4011595	-4.7139147	
esite6	-7.0496747	-5.0755904	 -9.023759	
esite7	-6.9588248	-3.9675085	-9.9501412	
esite8	-3.0317395	-.92270603	-5.1407729	
ebelligerent0	-1.1382721	-.27682244	-1.9997217	
ebelligerent1	-1.4391743	  .3486439	-3.2269926	
ebelligerent2	-1.0266637	  1.017646	-3.0709735	
ebelligerent3	-2.3080327	-.60577378	-4.0102915	
ebelligerent4	-.87139939	 1.3036823	-3.0464811	
ebelligerent5	-.14477343	 1.4292078	-1.7187546	
ebelligerent6	-3.1668782	-1.1742848	-5.1594716	
ebelligerent7	-3.1765521	 -2.193244	-4.1598602	
ebelligerent8	-.75913431	  .5560901	-2.0743587	
ethird0	 -.2458664	 .53965414	-1.0313869	
ethird1	-.71998721	 .21959782	-1.6595722	
ethird2	-.17878169	 1.5583394	-1.9159028	
ethird3	-1.8259144	 .74664263	-4.3984715	
ethird4	 -2.790916	-.86929168	-4.7125404	
ethird5	-1.7817757	 .19336437	-3.7569158	
ethird6	-2.0912684	 .39966128	-4.5821981	
ethird7	 -3.136382	-1.0428513	-5.2299127	
ethird8	-1.7993719	-.60003361	-2.9987102	
