	estimate	upper	lower	
esite0	-2.4746641	-1.8796078	-3.0697203	
esite1	-4.6901447	-3.5385673	-5.8417221	
esite2	-3.6363819	-1.8936864	-5.3790774	
esite3	-3.6728305	-2.6604903	-4.6851707	
esite4	-4.9254737	-3.6863527	-6.1645948	
esite5	-4.0417077	-2.5366598	-5.5467556	
esite6	-2.3910506	-.91431347	-3.8677877	
esite7	-1.8789663	-1.2729175	-2.4850152	
esite8	-.99578669	-.43807115	-1.5535022	
ebelligerent0	-.18142648	 .02814764	 -.3910006	
ebelligerent1	 .04610009	 .30398082	-.21178063	
ebelligerent2	 .47872514	 .86632545	 .09112482	
ebelligerent3	 .21029397	 .80796727	-.38737933	
ebelligerent4	-.27628602	 .54662444	-1.0991965	
ebelligerent5	-.33223547	  .1900039	-.85447484	
ebelligerent6	-.72084487	 -.2105287	 -1.231161	
ebelligerent7	-.65428424	-.30900029	-.99956818	
ebelligerent8	-.44177031	-.29526942	-.58827119	
ethird0	-.28766548	 .07569539	-.65102635	
ethird1	 -.2664896	 .06236955	-.59534875	
ethird2	-.12911411	 .24911793	-.50734615	
ethird3	-.10616086	 .26683266	-.47915438	
ethird4	-.54791987	-.27942258	-.81641715	
ethird5	-.26938748	-.05011254	-.48866241	
ethird6	-.32179161	-.08511157	-.55847165	
ethird7	-.41381129	-.08309939	 -.7445232	
ethird8	-.32128763	-.08015494	-.56242032	
