	estimate	upper	lower	
esite0	 3.2079091	 7.2815672	-.86574905	
esite1	-13.360983	 15.580147	-42.302114	
esite2	-3.5736488	 8.0683504	-15.215648	
esite3	 1.1514157	 6.2015694	 -3.898738	
esite4	 5.0477573	 7.7808407	 2.3146738	
esite5	 4.2625769	  8.049151	 .47600278	
esite6	 4.2793626	 8.9092063	 -.3504811	
esite7	 2.4699807	 6.6841857	-1.7442243	
esite8	-.14452269	 4.6436416	 -4.932687	
ebelligerent0	   2.58554	 6.5454175	-1.3743375	
ebelligerent1	 9.1202491	 13.156116	 5.0843825	
ebelligerent2	 11.899019	 17.625201	 6.1728372	
ebelligerent3	 13.262602	 19.910472	 6.6147326	
ebelligerent4	 13.229917	 22.160114	 4.2997204	
ebelligerent5	 11.889024	 16.068228	 7.7098198	
ebelligerent6	 2.4502931	 6.0849714	-1.1843852	
ebelligerent7	-.90208713	 1.4465605	-3.2507348	
ebelligerent8	 -2.911965	 1.0248419	-6.8487718	
ethird0	-1.3856083	  .4153888	-3.1866053	
ethird1	-.36861278	 .92582331	-1.6630489	
ethird2	-1.3903921	 .47543919	-3.2562235	
ethird3	 -.9745902	 1.6358746	 -3.585055	
ethird4	 1.2300424	 3.8482651	-1.3881803	
ethird5	 .71846727	 4.3752071	-2.9382725	
ethird6	-.05653534	 3.7946064	 -3.907677	
ethird7	 .34465047	 3.7543533	-3.0650523	
ethird8	 1.1052097	 4.2436148	-2.0331953	
