	estimate	upper	lower	
esite0	 50.304656	 79.043956	 21.565355	
esite1	 66.906124	 88.884646	 44.927601	
esite2	 56.907876	   79.1789	 34.636852	
esite3	 35.222784	 60.452521	 9.9930466	
esite4	  25.42336	 45.073027	 5.7736931	
esite5	 38.164634	 55.837763	 20.491504	
esite6	 27.980344	 38.156303	 17.804384	
esite7	 26.129462	 36.907177	 15.351747	
esite8	 17.298077	 34.841852	-.24569831	
ebelligerent0	 4.6052769	 9.0287961	 .18175764	
ebelligerent1	 6.5138737	 11.442381	 1.5853666	
ebelligerent2	  10.87811	 17.836801	 3.9194183	
ebelligerent3	  13.03677	 19.846091	 6.2274481	
ebelligerent4	 18.368118	 23.208664	 13.527571	
ebelligerent5	 8.8475119	 12.832893	 4.8621304	
ebelligerent6	 4.6228294	 9.0475997	 .19805913	
ebelligerent7	 .98461144	 2.6942017	-.72497881	
ebelligerent8	-.61956185	 1.1236228	-2.3627465	
ethird0	-.84684154	 .28813934	-1.9818224	
ethird1	-1.5795101	 .07001443	-3.2290347	
ethird2	-2.1769217	 .13564773	-4.4894912	
ethird3	-1.5739421	 .64494153	-3.7928256	
ethird4	-.41955405	 .96003006	-1.7991382	
ethird5	 .08762331	  1.650169	-1.4749224	
ethird6	 1.2408323	 3.8848298	-1.4031652	
ethird7	 .59536106	 3.3848616	-2.1941395	
ethird8	 .84147541	 3.8454297	-2.1624789	
