	estimate	upper	lower	
esite0	-2.8282878	-2.2244881	-3.4320875	
esite1	-4.2049011	-3.5572764	-4.8525258	
esite2	-2.5763806	-1.8580407	-3.2947204	
esite3	-3.5786163	-2.6892745	-4.4679581	
esite4	-4.8717801	-3.7255923	-6.0179679	
esite5	-3.4262502	-1.7250889	-5.1274115	
esite6	-1.3012254	 .58570925	-3.1881601	
esite7	-1.1198093	-.38795126	-1.8516674	
esite8	-.34892585	 .16261398	-.86046568	
ebelligerent0	 -.4208934	-.14798605	-.69380075	
ebelligerent1	-.04737344	 .33624868	-.43099556	
ebelligerent2	 .47644876	  .9008951	 .05200242	
ebelligerent3	 .39952501	 1.3874991	 -.5884491	
ebelligerent4	 .33266915	 1.3185578	-.65321953	
ebelligerent5	 .33001365	 .96252439	-.30249709	
ebelligerent6	 .09091051	 .72751666	-.54569563	
ebelligerent7	  .2656923	 .60762651	 -.0762419	
ebelligerent8	-.21586135	 .08169531	-.51341801	
ethird0	-.38981803	  .1846818	-.96431786	
ethird1	-.12204862	  .1280866	-.37218383	
ethird2	 .02094525	 .35028178	-.30839129	
ethird3	-.13941889	 .21550099	-.49433877	
ethird4	-.34587536	 .13305835	-.82480907	
ethird5	-.03982386	  .3986537	-.47830142	
ethird6	 .06650589	 .40137289	-.26836112	
ethird7	-.18465817	 .16046777	-.52978412	
ethird8	-.09846762	 .21796207	 -.4148973	
