	estimate	upper	lower	
esite0	 .08919606	 .13606187	 .04233026	
esite1	 .09553729	 .14279083	 .04828376	
esite2	 .09438597	 .14908661	 .03968532	
esite3	 .04017465	 .11299763	-.03264832	
esite4	-.00121966	 .06737617	-.06981548	
esite5	  .0338833	 .08029712	-.01253053	
esite6	 .02749659	  .0761571	-.02116392	
esite7	  .0566196	  .1011478	 .01209139	
esite8	 .03470832	 .07144477	-.00202813	
ebelligerent0	 .01278435	 .02642581	-.00085712	
ebelligerent1	 .01051093	 .02761008	-.00658822	
ebelligerent2	 .02415569	 .04577582	 .00253557	
ebelligerent3	 .03337993	 .06956439	-.00280452	
ebelligerent4	 -.0340653	  .0187033	 -.0868339	
ebelligerent5	-.00851678	 .01247042	-.02950398	
ebelligerent6	 .11480047	 .23796879	-.00836784	
ebelligerent7	 .06381026	 .12375491	 .00386561	
ebelligerent8	-.01134771	 .01831435	-.04100977	
ethird0	-.00749643	 .01113029	-.02612315	
ethird1	 .00479437	 .04675875	-.03717002	
ethird2	 .00255328	 .03659678	-.03149021	
ethird3	 .04799734	 .09130911	 .00468556	
ethird4	   .050016	 .09239763	 .00763438	
ethird5	 .03701035	 .08908814	-.01506743	
ethird6	 .06346965	 .13541035	-.00847105	
ethird7	 .01719367	 .06887648	-.03448914	
ethird8	 -.0383067	-.00502384	-.07158956	
