	estimate	upper	lower	
ethird_trd0pct0	-.01977348	 .00689166	-.04643863	
ethird_trd0pct1	-.00679775	 .03786377	-.05145927	
ethird_trd0pct2	 .01946767	 .05701838	-.01808304	
ethird_trd0pct3	 .07979315	 .14187577	 .01771053	
ethird_trd0pct4	 .07934024	 .19198357	 -.0333031	
ethird_trd0pct5	 .07094082	 .21959127	-.07770964	
ethird_trd0pct6	 .05557536	  .2009425	-.08979179	
ethird_trd0pct7	 .02061833	 .11737217	-.07613552	
ethird_trd0pct8	 .00961137	 .06243994	 -.0432172	
ethird_trd3pct0	 .04045398	 .71075636	-.62984841	
ethird_trd3pct1	 .41912145	 1.4540497	-.61580682	
ethird_trd3pct2	 .21355456	 1.0541013	-.62699214	
ethird_trd3pct3	 .39529358	 1.1862243	-.39563714	
ethird_trd3pct4	 .84857133	 1.3786443	 .31849839	
ethird_trd3pct5	 1.1378218	 1.6614793	 .61416421	
ethird_trd3pct6	 1.4617245	  2.055616	 .86783312	
ethird_trd3pct7	 .64776462	 1.3575536	-.06202437	
ethird_trd3pct8	  .4785347	 .93936236	 .01770704	
