	estimate	upper	lower	
ethird_trd0pct0	-.00142852	 .00355813	-.00641516	
ethird_trd0pct1	-.00881458	-.00036153	-.01726764	
ethird_trd0pct2	-.01199652	-.00458516	-.01940788	
ethird_trd0pct3	-.01310427	-.00571886	-.02048967	
ethird_trd0pct4	-.01179346	-.00185999	-.02172694	
ethird_trd0pct5	-.01192864	  .0001712	-.02402848	
ethird_trd0pct6	-.01555074	-.00356938	-.02753211	
ethird_trd0pct7	-.01771533	-.00296665	-.03246401	
ethird_trd0pct8	 -.0154946	 .00055918	-.03154838	
ethird_trd3pct0	 .07957778	 .14419618	 .01495939	
ethird_trd3pct1	  .1293321	 .24759661	 .01106759	
ethird_trd3pct2	 .04614866	 .17192411	-.07962679	
ethird_trd3pct3	-.08499242	  .0891127	-.25909754	
ethird_trd3pct4	-.15883133	 .02386456	-.34152722	
ethird_trd3pct5	-.20289235	-.03585234	-.36993236	
ethird_trd3pct6	-.19307252	-.05376888	-.33237616	
ethird_trd3pct7	-.50763215	-.40781025	-.60745406	
ethird_trd3pct8	 -.3417207	-.22906089	-.45438051	
