	estimate	upper	lower	
ethird_trd0pct0	  .0058075	 .12711559	 -.1155006	
ethird_trd0pct1	 .19565125	 .31856059	 .07274192	
ethird_trd0pct2	 .07581205	 .22482798	-.07320389	
ethird_trd0pct3	 .08759524	 .34448831	-.16929784	
ethird_trd0pct4	 .11451568	 .55844554	-.32941419	
ethird_trd0pct5	-.05620771	  .2882767	-.40069212	
ethird_trd0pct6	 .01338408	 .46241356	 -.4356454	
ethird_trd0pct7	 .12020468	 .59539862	-.35498926	
ethird_trd0pct8	-.06791327	 .10956955	-.24539609	
ethird_trd3pct0	  .0097215	 .69779487	-.67835186	
ethird_trd3pct1	 -.0701254	 1.1022008	-1.2424516	
ethird_trd3pct2	 1.7779717	 3.4274177	  .1285257	
ethird_trd3pct3	 2.5701249	 4.0878985	 1.0523513	
ethird_trd3pct4	 .94649906	 2.4219775	 -.5289794	
ethird_trd3pct5	 1.1970928	 2.3860421	 .00814354	
ethird_trd3pct6	-1.3392213	 .05856827	-2.7370109	
ethird_trd3pct7	-2.2721422	-.83903431	-3.7052502	
ethird_trd3pct8	-2.6043781	-1.4407529	-3.7680033	
