	estimate	upper	lower	
ethird_trd0pct0	-.02605337	-.01588776	-.03621898	
ethird_trd0pct1	-.05596872	-.03682723	 -.0751102	
ethird_trd0pct2	-.02492585	-.00406338	-.04578831	
ethird_trd0pct3	-.02548456	 -.0014104	-.04955872	
ethird_trd0pct4	-.01505396	 .00779182	-.03789974	
ethird_trd0pct5	-.01114896	 .00608137	 -.0283793	
ethird_trd0pct6	-.01471026	 .02002795	-.04944847	
ethird_trd0pct7	-.00570259	 .03449442	-.04589961	
ethird_trd0pct8	-.00742908	 .02336775	-.03822592	
ethird_trd3pct0	-.15822395	  .0375154	-.35396331	
ethird_trd3pct1	-.12316904	 .18809605	-.43443414	
ethird_trd3pct2	-.24707703	 .00662222	-.50077628	
ethird_trd3pct3	-.57021291	   .009095	-1.1495208	
ethird_trd3pct4	-.99305568	 -.1926525	-1.7934589	
ethird_trd3pct5	-.53158262	-.02684047	-1.0363248	
ethird_trd3pct6	-.49694419	-.10195821	-.89193017	
ethird_trd3pct7	-.39123546	-.22507152	 -.5573994	
ethird_trd3pct8	-.11890611	 .03917242	-.27698464	
