	estimate	upper	lower	
ethird_trd0pct0	 .07988177	 .13855774	 .02120581	
ethird_trd0pct1	 .05665589	 .14658747	-.03327569	
ethird_trd0pct2	-.08480253	 .05695051	-.22655557	
ethird_trd0pct3	-.20919124	 .00153455	-.41991703	
ethird_trd0pct4	-.10180355	 .06023291	   -.26384	
ethird_trd0pct5	 .01680443	 .12113895	-.08753009	
ethird_trd0pct6	-.03768756	 .11411883	-.18949394	
ethird_trd0pct7	 -.1011004	-.01031075	-.19189005	
ethird_trd0pct8	-.03690749	 .04482492	 -.1186399	
ethird_trd3pct0	-6.5367104	 1.1515332	-14.224954	
ethird_trd3pct1	-4.3468758	 1.9602217	-10.653973	
ethird_trd3pct2	  7.939707	 14.447841	  1.431573	
ethird_trd3pct3	 2.8942794	 13.912974	-8.1244152	
ethird_trd3pct4	 9.9025558	 19.211891	 .59322062	
ethird_trd3pct5	-.30802142	 7.8827387	-8.4987815	
ethird_trd3pct6	-4.9572669	  8.248894	-18.163428	
ethird_trd3pct7	-3.1893893	 6.1337514	 -12.51253	
ethird_trd3pct8	 4.2254153	 8.7830575	-.33222702	
