	estimate	upper	lower	
ethird_trd0pct0	-.03923036	 .02918073	-.10764146	
ethird_trd0pct1	-.12050482	 -.0573261	-.18368354	
ethird_trd0pct2	-.14580351	-.06209116	-.22951586	
ethird_trd0pct3	-.18075331	-.05911281	-.30239381	
ethird_trd0pct4	-.18623391	-.06036943	-.31209839	
ethird_trd0pct5	-.17217648	-.07996666	-.26438631	
ethird_trd0pct6	 .00858588	  .1140697	-.09689793	
ethird_trd0pct7	 .05110813	  .1480168	-.04580055	
ethird_trd0pct8	-.05249717	 .00425691	-.10925125	
ethird_trd3pct0	-.74381558	 5.9977457	-7.4853769	
ethird_trd3pct1	-6.5743715	 1.2080414	-14.356784	
ethird_trd3pct2	-12.021641	-3.4606565	-20.582626	
ethird_trd3pct3	 13.568851	 38.200965	-11.063263	
ethird_trd3pct4	 4.6621493	  15.24985	-5.9255509	
ethird_trd3pct5	 11.063278	 21.219792	  .9067649	
ethird_trd3pct6	  6.986245	 19.328241	-5.3557507	
ethird_trd3pct7	 7.5288994	 19.928422	-4.8706236	
ethird_trd3pct8	 2.5744312	 12.616725	-7.4678624	
