	estimate	upper	lower	
ethird_trd0pct0	-.01892675	-.00490123	-.03295227	
ethird_trd0pct1	-.01318574	 .00898827	-.03535974	
ethird_trd0pct2	 -.0006649	 .02721741	 -.0285472	
ethird_trd0pct3	  -.006579	 .03318804	-.04634604	
ethird_trd0pct4	-.01519189	 .02748139	-.05786517	
ethird_trd0pct5	-.01729145	 .01353523	-.04811812	
ethird_trd0pct6	-.02194234	 .00936406	-.05324874	
ethird_trd0pct7	-.00500651	 .02183093	-.03184395	
ethird_trd0pct8	-.00009975	 .01368902	-.01388853	
ethird_trd3pct0	-.24156152	-.03482808	-.44829497	
ethird_trd3pct1	 -.0287425	 .34076337	-.39824836	
ethird_trd3pct2	-.13912669	 .11825982	-.39651321	
ethird_trd3pct3	-.35536129	-.07310215	-.63762044	
ethird_trd3pct4	-.41597961	 .02807512	-.86003434	
ethird_trd3pct5	 .12583218	 .45642207	-.20475771	
ethird_trd3pct6	 .07741279	 .26933159	-.11450601	
ethird_trd3pct7	-.04638542	 .16074378	-.25351462	
ethird_trd3pct8	 .34390226	 .65843451	 .02937002	
