	estimate	upper	lower	
ethird_trd0pct0	-.00115195	 .00212458	-.00442847	
ethird_trd0pct1	 -.0059189	 .00067273	-.01251053	
ethird_trd0pct2	 .00124539	 .00637045	-.00387966	
ethird_trd0pct3	 .00037715	 .00612512	-.00537083	
ethird_trd0pct4	-.01054382	 .00107576	-.02216341	
ethird_trd0pct5	-.00403826	 .00547249	-.01354901	
ethird_trd0pct6	-.00204886	 .01104053	-.01513826	
ethird_trd0pct7	 .00055502	  .0069572	-.00584715	
ethird_trd0pct8	 .00791023	  .0147343	 .00108616	
ethird_trd3pct0	-.02783488	 .01331701	-.06898677	
ethird_trd3pct1	-.02356709	 .01262165	-.05975584	
ethird_trd3pct2	-.02419232	  .0294824	-.07786703	
ethird_trd3pct3	-.05003218	 .00814577	-.10821014	
ethird_trd3pct4	 .01936934	 .06456584	-.02582717	
ethird_trd3pct5	 .10124942	 .13709121	 .06540764	
ethird_trd3pct6	 .09935755	 .13684995	 .06186515	
ethird_trd3pct7	  .0381089	 .06555246	 .01066534	
ethird_trd3pct8	 .00820673	 .05778602	-.04137255	
