	estimate	upper	lower	
esite0	 1.4154201	 3.0648012	-.23396105	
esite1	 4.2616851	 6.5473314	 1.9760388	
esite2	  8.036487	 10.949444	 5.1235302	
esite3	 12.655001	 16.055386	 9.2546171	
esite4	 16.375482	  20.16719	 12.583773	
esite5	 18.862044	 23.827353	 13.896735	
esite6	 23.760383	 31.614755	  15.90601	
esite7	 20.519681	 26.670922	  14.36844	
esite8	 21.742075	 29.700337	 13.783812	
ebelligerent0	 .27558611	 .68718591	-.13601369	
ebelligerent1	 1.0764758	 1.9549058	 .19804579	
ebelligerent2	 1.6968534	 2.5737778	 .81992898	
ebelligerent3	 2.5474554	 3.7154761	 1.3794347	
ebelligerent4	  3.782981	 5.6057688	 1.9601933	
ebelligerent5	 4.6096684	 6.4296209	 2.7897159	
ebelligerent6	 5.9209017	 7.8882456	 3.9535579	
ebelligerent7	 5.8885173	 7.8552426	 3.9217919	
ebelligerent8	 5.7265362	 7.8716441	 3.5814282	
ethird0	 .43572373	 1.1510857	-.27963825	
ethird1	 1.2996973	 2.3783692	 .22102538	
ethird2	 .96730101	 2.0700016	-.13539959	
ethird3	  2.201981	 3.3682198	 1.0357422	
ethird4	 3.2488582	 4.6137714	  1.883945	
ethird5	 4.0156202	 5.7073397	 2.3239007	
ethird6	 4.8133369	 6.7622394	 2.8644343	
ethird7	 4.4888614	 6.9136783	 2.0640445	
ethird8	 3.7646883	 6.6546411	 .87473559	
