	estimate	upper	lower	
esite0	 .10470404	 .18985059	 .01955748	
esite1	-.27993303	  .0022519	-.56211796	
esite2	-.84903483	-.40207173	-1.2959979	
esite3	-1.4927816	-.84886548	-2.1366977	
esite4	-2.2541542	-1.2047033	-3.3036051	
esite5	-2.9980902	-1.6549129	-4.3412675	
esite6	-3.8752408	-1.4083011	-6.3421806	
esite7	-4.0811066	-1.1850233	  -6.97719	
esite8	 -4.246194	-1.0468923	-7.4454958	
ebelligerent0	-.00003861	 .06768409	-.06776132	
ebelligerent1	-.17331352	-.02305075	-.32357629	
ebelligerent2	 -.3158216	-.09374588	-.53789732	
ebelligerent3	-.52337832	-.28156546	-.76519118	
ebelligerent4	-.60886081	-.39301618	-.82470545	
ebelligerent5	-.67297696	-.40149676	-.94445717	
ebelligerent6	-.62834809	-.03049191	-1.2262043	
ebelligerent7	-.79553331	-.13589951	-1.4551671	
ebelligerent8	-.54771671	 .15443834	-1.2498718	
ethird0	 .00253596	 .08905361	-.08398169	
ethird1	-.06566188	 .15578217	-.28710593	
ethird2	-.20637629	 .10989654	-.52264912	
ethird3	-.19505322	 .10016323	-.49026967	
ethird4	-.27066234	 .02872994	-.57005461	
ethird5	-.31168207	 .02202358	-.64538771	
ethird6	-.46347065	-.16231102	-.76463027	
ethird7	-.62325268	-.29342774	-.95307761	
ethird8	-.72851424	 -.3606265	 -1.096402	
