	estimate	upper	lower	
esite0	-.65365589	 1.3226232	 -2.629935	
esite1	-3.8735228	-.68271388	-7.0643317	
esite2	-7.6316309	-4.5619234	-10.701338	
esite3	-12.874958	-10.046967	-15.702948	
esite4	-13.947273	-9.8121085	-18.082438	
esite5	-13.101499	-10.050997	   -16.152	
esite6	-17.500285	-14.085035	-20.915536	
esite7	-16.016889	 -12.38517	-19.648609	
esite8	-11.728938	-8.0116632	-15.446214	
ebelligerent0	-1.7784209	-1.1469658	-2.4098759	
ebelligerent1	-2.2661152	-.73267778	-3.7995525	
ebelligerent2	-1.4444312	 .73465504	-3.6235175	
ebelligerent3	-3.2031865	 -.8922496	-5.5141233	
ebelligerent4	-3.3624182	-.09337785	-6.6314585	
ebelligerent5	-3.2939233	-.62991042	-5.9579361	
ebelligerent6	-6.4169768	-3.5283698	-9.3055838	
ebelligerent7	-7.4040605	-5.4745044	-9.3336166	
ebelligerent8	-6.9714837	-4.3036079	-9.6393594	
ethird0	-1.4639778	  .4267336	-3.3546892	
ethird1	 -2.074035	-.41165139	-3.7364186	
ethird2	-.58361833	 1.2182984	-2.3855351	
ethird3	  -3.46242	-.88212589	-6.0427142	
ethird4	-5.1942942	-1.8156391	-8.5729494	
ethird5	-4.8852213	-.99781844	-8.7726241	
ethird6	-5.4710921	-.39736679	-10.544817	
ethird7	-6.8465108	-1.9204496	-11.772572	
ethird8	-5.6786131	-1.6168603	-9.7403658	
