	estimate	upper	lower	
esite0	-3.3530698	-2.6866887	 -4.019451	
esite1	-6.8072142	-4.8861418	-8.7282866	
esite2	-6.3645055	-3.5604968	-9.1685143	
esite3	-7.0027915	-4.9137737	-9.0918093	
esite4	 -8.500599	-6.2103023	-10.790896	
esite5	-7.5416407	-4.7730302	-10.310251	
esite6	-7.6267472	-1.4936565	-13.759838	
esite7	-7.5503207	-1.2558162	-13.844825	
esite8	-5.8962356	 .25763232	-12.050103	
ebelligerent0	-.20159829	 .22919812	 -.6323947	
ebelligerent1	-.06425428	 .58951497	-.71802353	
ebelligerent2	 .34334816	 1.2957059	-.60900958	
ebelligerent3	 .42555765	 1.7313665	-.88025121	
ebelligerent4	 .03634977	 1.9928757	-1.9201761	
ebelligerent5	-.01881139	 1.8009417	-1.8385645	
ebelligerent6	-1.1002615	 .04922997	 -2.249753	
ebelligerent7	-1.0987506	-.15761292	-2.0398883	
ebelligerent8	-1.1670075	-.62906743	-1.7049476	
ethird0	-.33570146	 .02981524	-.70121817	
ethird1	-.43273545	-.08653768	-.77893322	
ethird2	-.69328378	 .02271279	-1.4092804	
ethird3	-.56277406	-.04830346	-1.0772447	
ethird4	-.93275316	-.42350333	 -1.442003	
ethird5	-.56834225	  .0142729	-1.1509574	
ethird6	-.97323743	-.44571169	-1.5007632	
ethird7	-1.0136171	-.59793935	-1.4292949	
ethird8	-.98969304	 -.1782421	 -1.801144	
