	estimate	upper	lower	
esite0	 8.9895513	 15.934289	  2.044814	
esite1	 6.8952443	  12.72977	 1.0607191	
esite2	 11.478909	 16.368573	 6.5892449	
esite3	 15.016098	 19.823702	 10.208493	
esite4	 13.586407	 19.579523	 7.5932911	
esite5	 3.5997383	 8.2465905	 -1.047114	
esite6	-.47391421	 4.4572934	-5.4051218	
esite7	-1.9112244	 3.4395513	-7.2620002	
esite8	-.03904606	 6.3551537	-6.4332459	
ebelligerent0	 5.1676771	 7.2308725	 3.1044817	
ebelligerent1	 10.590104	 13.396838	 7.7833702	
ebelligerent2	 13.207439	 18.440714	  7.974164	
ebelligerent3	 13.522908	 19.039685	 8.0061311	
ebelligerent4	 15.672918	 24.023162	 7.3226749	
ebelligerent5	 14.108042	  21.35119	 6.8648937	
ebelligerent6	 .13058178	 8.1073659	-7.8462024	
ebelligerent7	-2.9004086	  3.369299	-9.1701162	
ebelligerent8	-3.8397265	-.19128667	-7.4881664	
ethird0	-1.4165657	 .48930631	-3.3224377	
ethird1	-.71997402	 .97683182	-2.4167799	
ethird2	-1.5167964	 .88781306	-3.9214058	
ethird3	 -.3966286	 3.2858062	-4.0790634	
ethird4	  1.075686	 5.1917725	-3.0404005	
ethird5	 .26771551	 4.9033868	-4.3679558	
ethird6	-1.6506454	 2.4809142	 -5.782205	
ethird7	-1.0011373	 2.3682582	-4.3705327	
ethird8	-.25805348	 3.2247424	-3.7408494	
