	estimate	upper	lower	
esite0	 8.5067069	 11.024796	 5.9886181	
esite1	  22.79344	  28.96714	 16.619741	
esite2	 21.615923	 28.220446	 15.011401	
esite3	 21.312366	 27.874856	 14.749875	
esite4	 24.084748	 30.418382	 17.751114	
esite5	 17.336269	 25.044313	 9.6282246	
esite6	 9.6591129	 17.117024	 2.2012021	
esite7	-.48014628	 7.7887682	-8.7490608	
esite8	 .42837575	 8.8676258	-8.0108743	
ebelligerent0	 8.1068976	 15.500788	 .71300711	
ebelligerent1	  13.26777	 16.675973	 9.8595668	
ebelligerent2	 17.842511	 28.227514	 7.4575085	
ebelligerent3	 22.890823	 34.568673	 11.212973	
ebelligerent4	 24.565386	  36.42763	 12.703141	
ebelligerent5	 11.390232	 23.031087	-.25062266	
ebelligerent6	  5.186775	 12.020014	-1.6464635	
ebelligerent7	  3.191699	 6.8362597	-.45286163	
ebelligerent8	 1.5234091	 4.8749276	-1.8281094	
ethird0	-.94226897	-.27572507	-1.6088129	
ethird1	-.50316788	 .69287728	 -1.699213	
ethird2	-1.6662916	 .32736449	-3.6599477	
ethird3	-.94356267	 .82613254	-2.7132579	
ethird4	 .36249937	  2.898819	-2.1738203	
ethird5	 .50819237	 3.2585862	-2.2422014	
ethird6	 .53191353	  3.204696	-2.1408689	
ethird7	 .02867976	 3.2895958	-3.2322363	
ethird8	-.61843108	 2.0151481	-3.2520103	
