	estimate	upper	lower	
esite0	-3.5100945	-2.6383484	-4.3818406	
esite1	-5.6237326	-4.4293695	-6.8180958	
esite2	-4.4839946	-2.4602458	-6.5077435	
esite3	-5.6908515	-3.1083448	-8.2733581	
esite4	 -7.053937	-3.8171269	-10.290747	
esite5	-5.2782877	-1.1959466	-9.3606288	
esite6	 -2.599796	  1.920548	  -7.12014	
esite7	-2.4284125	 2.0751989	-6.9320238	
esite8	-1.0892336	  3.439073	-5.6175402	
ebelligerent0	-.30620512	 .17762094	-.79003118	
ebelligerent1	 .13610237	 .83875149	-.56654674	
ebelligerent2	 .76210559	 1.6289492	-.10473807	
ebelligerent3	 1.3531436	 2.9225263	-.21623906	
ebelligerent4	 1.5251751	 3.5777019	-.52735173	
ebelligerent5	 1.6795531	 3.5276088	-.16850254	
ebelligerent6	 .61778159	 1.5914836	 -.3559204	
ebelligerent7	 .80797198	 1.5802213	 .03572269	
ebelligerent8	 .00783277	 1.0505679	-1.0349024	
ethird0	-.38728889	 .14960793	-.92418571	
ethird1	-.18051583	 .08156917	-.44260082	
ethird2	-.50829908	 .15403814	-1.1706363	
ethird3	-.48453354	 .01570348	-.98477056	
ethird4	 -.5692857	 .09457424	-1.2331456	
ethird5	-.12808485	 .60038837	-.85655808	
ethird6	-.32542284	 .16503755	-.81588324	
ethird7	 -.4808566	-.03833452	-.92337868	
ethird8	-.42911146	 .48079076	-1.3390137	
