	estimate	upper	lower	
esite0	 .09845529	 .17091716	 .02599341	
esite1	 .15154782	  .2667517	 .03634394	
esite2	 .22764491	 .35435018	 .10093965	
esite3	 .13216169	  .3237336	-.05941022	
esite4	 .11539144	 .32018918	-.08940631	
esite5	 .15362279	 .24826725	 .05897832	
esite6	 .20197904	 .29964432	 .10431377	
esite7	 .16552722	 .35020901	-.01915457	
esite8	 .11426807	 .33210006	-.10356391	
ebelligerent0	 .04069656	 .07000272	 .01139039	
ebelligerent1	 .03169723	 .08149392	-.01809946	
ebelligerent2	 .06011136	 .13111466	-.01089194	
ebelligerent3	 .14657096	 .23343427	 .05970765	
ebelligerent4	 .09996392	  .1882641	 .01166374	
ebelligerent5	 .14193915	 .24785063	 .03602767	
ebelligerent6	 .14794765	 .47234038	-.17644508	
ebelligerent7	 .11500918	 .38458796	 -.1545696	
ebelligerent8	-.00028607	 .27856157	-.27913371	
ethird0	  .0141685	 .04270329	-.01436629	
ethird1	 .02915143	   .090291	-.03198814	
ethird2	-.02770474	 .09645983	-.15186932	
ethird3	 .03732051	 .15450159	-.07986058	
ethird4	  .0545949	 .19012728	-.08093748	
ethird5	 .05297359	 .21113069	-.10518352	
ethird6	 .05061249	 .26710497	   -.16588	
ethird7	 .02838052	 .21886039	-.16209936	
ethird8	-.01859381	 .14843908	-.18562669	
