	estimate	upper	lower	
ethird_trd0pct0	 .05601526	 .10967321	 .00235731	
ethird_trd0pct1	 .15966432	 .25630091	 .06302774	
ethird_trd0pct2	 .27771182	 .41741751	 .13800614	
ethird_trd0pct3	 .38456687	 .61177367	 .15736008	
ethird_trd0pct4	 .49577723	  .7938684	 .19768605	
ethird_trd0pct5	 .59097085	   .960766	 .22117569	
ethird_trd0pct6	 .64322741	 1.0613352	  .2251196	
ethird_trd0pct7	 .67352713	   1.11652	  .2305343	
ethird_trd0pct8	 .71373935	  1.211609	 .21586969	
ethird_trd3pct0	 .54843664	 1.6269165	-.53004325	
ethird_trd3pct1	 1.2327343	 2.8314263	-.36595777	
ethird_trd3pct2	 .98491029	 2.5054778	-.53565722	
ethird_trd3pct3	 1.9968684	 3.6787963	 .31494058	
ethird_trd3pct4	 3.1052193	 4.9230023	 1.2874363	
ethird_trd3pct5	 2.4689009	 4.8128507	  .1249511	
ethird_trd3pct6	 2.9551988	 5.5610494	 .34934816	
ethird_trd3pct7	 2.2149392	 5.0146289	 -.5847505	
ethird_trd3pct8	 2.4682092	 4.7043729	 .23204548	
