	estimate	upper	lower	
ethird_trd0pct0	  .0018414	 .00874236	-.00505957	
ethird_trd0pct1	-.00482329	 .00835184	-.01799842	
ethird_trd0pct2	-.00773645	 .01800117	-.03347408	
ethird_trd0pct3	-.03142435	-.01063072	-.05221798	
ethird_trd0pct4	-.03560924	-.00441154	-.06680695	
ethird_trd0pct5	 -.0476529	-.01082966	-.08447613	
ethird_trd0pct6	-.06484325	-.02205815	-.10762835	
ethird_trd0pct7	 -.0739731	-.02235772	-.12558848	
ethird_trd0pct8	-.07783648	 -.0196461	-.13602687	
ethird_trd3pct0	 .00663873	 .09380362	-.08052617	
ethird_trd3pct1	-.02954026	 .13956656	-.19864709	
ethird_trd3pct2	-.54653277	-.00057729	-1.0924883	
ethird_trd3pct3	-.67941317	-.27624254	-1.0825838	
ethird_trd3pct4	-.96051192	-.49963378	-1.4213901	
ethird_trd3pct5	-1.1009967	-.63803226	-1.5639612	
ethird_trd3pct6	-.88448344	-.07110373	-1.6978631	
ethird_trd3pct7	-1.3359852	-.57953513	-2.0924353	
ethird_trd3pct8	-1.5837919	-1.0482571	-2.1193267	
