	estimate	upper	lower	
ethird_trd0pct0	-.08047649	 .03173787	-.19269085	
ethird_trd0pct1	  .0644732	 .22799749	-.09905109	
ethird_trd0pct2	-.05761646	 .19506634	-.31029926	
ethird_trd0pct3	-.04236279	 .47644705	-.56117262	
ethird_trd0pct4	-.03423271	 .74174717	-.81021258	
ethird_trd0pct5	  -.191292	 .58945135	-.97203535	
ethird_trd0pct6	-.10439445	 .82907545	-1.0378643	
ethird_trd0pct7	 .00905874	 1.0017806	 -.9836631	
ethird_trd0pct8	-.14540493	 .57570946	-.86651932	
ethird_trd3pct0	 .02775131	  1.144188	-1.0886854	
ethird_trd3pct1	  .1388805	 2.0699325	-1.7921715	
ethird_trd3pct2	 2.0460652	 4.6790458	-.58691538	
ethird_trd3pct3	 2.3766292	 5.5262979	 -.7730395	
ethird_trd3pct4	 .54224335	 4.1050149	-3.0205282	
ethird_trd3pct5	 .14461744	 3.3994809	-3.1102461	
ethird_trd3pct6	-3.3449394	-.09862591	-6.5912528	
ethird_trd3pct7	-4.8460626	-1.6604897	-8.0316355	
ethird_trd3pct8	-5.1526099	-1.3030282	-9.0021917	
