	estimate	upper	lower	
ethird_trd0pct0	-.02131635	 .00073637	-.04336908	
ethird_trd0pct1	-.04871798	-.02590433	-.07153162	
ethird_trd0pct2	-.01748598	 .03950782	-.07447978	
ethird_trd0pct3	-.06906425	  -.032525	-.10560349	
ethird_trd0pct4	-.05705045	-.01140798	-.10269293	
ethird_trd0pct5	-.07168956	-.03559157	-.10778755	
ethird_trd0pct6	-.09712067	-.05304799	-.14119335	
ethird_trd0pct7	-.09490913	-.04752979	-.14228846	
ethird_trd0pct8	-.10716106	 -.0632341	-.15108803	
ethird_trd3pct0	-.26833298	-.04657102	-.49009495	
ethird_trd3pct1	-.31012186	-.12208634	-.49815738	
ethird_trd3pct2	-.46551475	-.22966317	-.70136633	
ethird_trd3pct3	-.78595237	 .14805415	-1.7199589	
ethird_trd3pct4	-1.2088982	 .01580896	-2.4336054	
ethird_trd3pct5	-.59198496	 .16991544	-1.3538854	
ethird_trd3pct6	-.48344586	 .25319628	 -1.220088	
ethird_trd3pct7	 -.2394767	 .22757845	-.70653185	
ethird_trd3pct8	-.05616107	 .66052904	-.77285118	
